crop,collection_date,genotype,individual,image_path
wheat,1,10,1,../data/wheat/images\1_10_1.jpg
wheat,1,10,10,../data/wheat/images\1_10_10.jpg
wheat,1,10,2,../data/wheat/images\1_10_2.jpg
wheat,1,10,3,../data/wheat/images\1_10_3.jpg
wheat,1,10,4,../data/wheat/images\1_10_4.jpg
wheat,1,10,5,../data/wheat/images\1_10_5.jpg
wheat,1,10,6,../data/wheat/images\1_10_6.jpg
wheat,1,10,7,../data/wheat/images\1_10_7.jpg
wheat,1,10,8,../data/wheat/images\1_10_8.jpg
wheat,1,10,9,../data/wheat/images\1_10_9.jpg
wheat,1,11,1,../data/wheat/images\1_11_1.jpg
wheat,1,11,10,../data/wheat/images\1_11_10.jpg
wheat,1,11,2,../data/wheat/images\1_11_2.jpg
wheat,1,11,3,../data/wheat/images\1_11_3.jpg
wheat,1,11,4,../data/wheat/images\1_11_4.jpg
wheat,1,11,5,../data/wheat/images\1_11_5.jpg
wheat,1,11,6,../data/wheat/images\1_11_6.jpg
wheat,1,11,7,../data/wheat/images\1_11_7.jpg
wheat,1,11,8,../data/wheat/images\1_11_8.jpg
wheat,1,11,9,../data/wheat/images\1_11_9.jpg
wheat,1,12,1,../data/wheat/images\1_12_1.jpg
wheat,1,12,10,../data/wheat/images\1_12_10.jpg
wheat,1,12,2,../data/wheat/images\1_12_2.jpg
wheat,1,12,3,../data/wheat/images\1_12_3.jpg
wheat,1,12,4,../data/wheat/images\1_12_4.jpg
wheat,1,12,5,../data/wheat/images\1_12_5.jpg
wheat,1,12,6,../data/wheat/images\1_12_6.jpg
wheat,1,12,7,../data/wheat/images\1_12_7.jpg
wheat,1,12,8,../data/wheat/images\1_12_8.jpg
wheat,1,12,9,../data/wheat/images\1_12_9.jpg
wheat,1,13,1,../data/wheat/images\1_13_1.jpg
wheat,1,13,10,../data/wheat/images\1_13_10.jpg
wheat,1,13,2,../data/wheat/images\1_13_2.jpg
wheat,1,13,3,../data/wheat/images\1_13_3.jpg
wheat,1,13,4,../data/wheat/images\1_13_4.jpg
wheat,1,13,5,../data/wheat/images\1_13_5.jpg
wheat,1,13,6,../data/wheat/images\1_13_6.jpg
wheat,1,13,7,../data/wheat/images\1_13_7.jpg
wheat,1,13,8,../data/wheat/images\1_13_8.jpg
wheat,1,13,9,../data/wheat/images\1_13_9.jpg
wheat,1,14,1,../data/wheat/images\1_14_1.jpg
wheat,1,14,10,../data/wheat/images\1_14_10.jpg
wheat,1,14,2,../data/wheat/images\1_14_2.jpg
wheat,1,14,3,../data/wheat/images\1_14_3.jpg
wheat,1,14,4,../data/wheat/images\1_14_4.jpg
wheat,1,14,5,../data/wheat/images\1_14_5.jpg
wheat,1,14,6,../data/wheat/images\1_14_6.jpg
wheat,1,14,7,../data/wheat/images\1_14_7.jpg
wheat,1,14,8,../data/wheat/images\1_14_8.jpg
wheat,1,14,9,../data/wheat/images\1_14_9.jpg
wheat,1,15,1,../data/wheat/images\1_15_1.jpg
wheat,1,15,10,../data/wheat/images\1_15_10.jpg
wheat,1,15,2,../data/wheat/images\1_15_2.jpg
wheat,1,15,3,../data/wheat/images\1_15_3.jpg
wheat,1,15,4,../data/wheat/images\1_15_4.jpg
wheat,1,15,5,../data/wheat/images\1_15_5.jpg
wheat,1,15,6,../data/wheat/images\1_15_6.jpg
wheat,1,15,7,../data/wheat/images\1_15_7.jpg
wheat,1,15,8,../data/wheat/images\1_15_8.jpg
wheat,1,15,9,../data/wheat/images\1_15_9.jpg
wheat,1,16,1,../data/wheat/images\1_16_1.jpg
wheat,1,16,10,../data/wheat/images\1_16_10.jpg
wheat,1,16,2,../data/wheat/images\1_16_2.jpg
wheat,1,16,3,../data/wheat/images\1_16_3.jpg
wheat,1,16,4,../data/wheat/images\1_16_4.jpg
wheat,1,16,5,../data/wheat/images\1_16_5.jpg
wheat,1,16,6,../data/wheat/images\1_16_6.jpg
wheat,1,16,7,../data/wheat/images\1_16_7.jpg
wheat,1,16,8,../data/wheat/images\1_16_8.jpg
wheat,1,16,9,../data/wheat/images\1_16_9.jpg
wheat,1,17,1,../data/wheat/images\1_17_1.jpg
