"Comparison","diff","lwr","upr","p adj"
"2-1",0.155707452996326,0.121466356620586,0.189948549372066,4.33542091116124e-13
"3-1",0.345747259597875,0.311506163222134,0.379988355973615,4.33542091116124e-13
"4-1",0.405844760268612,0.371383291581042,0.440306228956181,4.33542091116124e-13
"5-1",0.241737591190654,0.207496494814913,0.275978687566394,4.33542091116124e-13
"6-1",-0.00960207961984666,-0.0440184514915591,0.0248142922518657,0.968384923553085
"3-2",0.190039806601549,0.159500769052177,0.220578844150921,4.33542091116124e-13
"4-2",0.250137307272286,0.219351385854639,0.280923228689933,4.33542091116124e-13
"5-2",0.0860301381943275,0.0554911006449554,0.1165691757437,5.295763827462e-13
"6-2",-0.165309532616173,-0.196044964714017,-0.134574100518328,4.33542091116124e-13
"4-3",0.060097500670737,0.0293115792530899,0.0908834220883842,4.10842649012366e-07
"5-3",-0.104009668407221,-0.134548705956593,-0.0734706308578493,4.91051643791707e-13
"6-3",-0.355349339217722,-0.386084771315566,-0.324613907119877,4.33542091116124e-13
"5-4",-0.164107169077958,-0.194893090495606,-0.133321247660311,4.33542091116124e-13
"6-4",-0.415446839888459,-0.446427590836956,-0.384466088939962,4.33542091116124e-13
"6-5",-0.2513396708105,-0.282075102908345,-0.220604238712656,4.33542091116124e-13
