"Comparison","diff","lwr","upr","p adj"
"2-1",0.0580663478351434,0.0380410039974408,0.078091691672846,4.51494397424312e-12
"3-1",-0.0318635091806709,-0.0515395998678685,-0.0121874184934734,9.85635660282203e-05
"4-1",-0.128622040691947,-0.148278949892124,-0.10896513149177,4.42068603945245e-12
"5-1",-0.0114885975056721,-0.0312034795995372,0.00822628458819299,0.503839642275211
"3-2",-0.0899298570158144,-0.109320815113807,-0.070538898917822,4.42068603945245e-12
"4-2",-0.18668838852709,-0.206059882804282,-0.167316894249898,4.42068603945245e-12
"5-2",-0.0695549453408155,-0.088985264103056,-0.050124626578575,4.47186732088767e-12
"4-3",-0.096758531511276,-0.115768764004433,-0.0777482990181188,4.42068603945245e-12
"5-3",0.0203749116749988,0.00130474030411486,0.0394450830458828,0.0293465514352846
"5-4",0.117133443186275,0.0980830633819752,0.136183822990574,4.42068603945245e-12
