"Comparison","diff","lwr","upr","p adj"
"2-1",0.0605987810693899,0.0137090203581471,0.107488541780633,0.0038922896508804
"3-1",-0.0177632576527422,-0.0647514230067679,0.0292249077012836,0.840712285698069
"4-1",0.134879603448778,0.0878914380947527,0.181867768802804,4.07125233525818e-09
"5-1",0.382555969040586,0.335053244264792,0.430058693816381,4.0711405357996e-09
"3-2",-0.0783620387221321,-0.125350204076158,-0.0313738733681064,5.40316809232166e-05
"4-2",0.0742808223793885,0.0272926570253628,0.121268987733414,0.000159877683418963
"5-2",0.321957187971197,0.274454463195402,0.369459912746991,4.0711405357996e-09
"4-3",0.152642861101521,0.105556496757722,0.199729225445319,4.07117894951625e-09
"5-3",0.400319226693329,0.352719364457135,0.447919088929522,4.0711405357996e-09
"5-4",0.247676365591808,0.200076503355615,0.295276227828001,4.0711405357996e-09
