"Comparison","diff","lwr","upr","p adj"
"2-1",-0.00977914369501509,-0.0468794827369964,0.0273211953469662,0.952109179969162
"3-1",0.143078347885335,0.105900148654793,0.180256547115877,4.07118783130045e-09
"4-1",0.168629254447058,0.131451055216516,0.205807453677601,4.0711405357996e-09
"5-1",-0.132130493068719,-0.169715824447417,-0.0945451616900208,4.07118638801052e-09
"3-2",0.15285749158035,0.115679292349808,0.190035690810893,4.07115252620827e-09
"4-2",0.178408398142074,0.141230198911531,0.215586597372616,4.0711405357996e-09
"5-2",-0.122351349373704,-0.159936680752402,-0.0847660179950057,4.07117817236013e-09
"4-3",0.0255509065617231,-0.0117049901396289,0.0628068032630751,0.332846444553344
"5-3",-0.275208840954054,-0.312871029895252,-0.237546652012857,4.0711405357996e-09
"5-4",-0.300759747515777,-0.338421936456975,-0.26309755857458,4.0711405357996e-09
