"crop","metric","grouping","bartlett_statistic","bartlett_p_value"
"sorghum","Dice","genotype",43684.2719833524,0
"sorghum","Dice","collectiondate",8804.83440965213,0
"sorghum","F1","genotype",43684.2724221141,0
"sorghum","F1","collectiondate",8804.83455801577,0
"sorghum","Hausdorff","genotype",NA,NA
"sorghum","Hausdorff","collectiondate",NA,NA
"sorghum","IoU","genotype",27360.3348604446,0
"sorghum","IoU","collectiondate",3200.75673504374,0
"sorghum","MAE","genotype",27303.600397237,0
"sorghum","MAE","collectiondate",3019.21841469908,0
"sorghum","PixelAccuracy","genotype",27303.6005116667,0
"sorghum","PixelAccuracy","collectiondate",3019.21843942401,0
"sorghum","Precision","genotype",26868.9407162097,0
"sorghum","Precision","collectiondate",4160.13368105329,0
"sorghum","Recall","genotype",29215.7450886781,0
"sorghum","Recall","collectiondate",6533.90146068474,0
"wheat","Dice","genotype",9046.14925497967,0
"wheat","Dice","collectiondate",1424.88950000854,2.77036351279817e-307
"wheat","F1","genotype",9046.14931861673,0
"wheat","F1","collectiondate",1424.88951176838,2.77034724617033e-307
"wheat","Hausdorff","genotype",NA,NA
"wheat","Hausdorff","collectiondate",NA,NA
"wheat","IoU","genotype",5645.91641047936,0
"wheat","IoU","collectiondate",1029.22832773029,1.65284893763388e-221
"wheat","MAE","genotype",7132.9077411334,0
"wheat","MAE","collectiondate",2355.54573953375,0
"wheat","PixelAccuracy","genotype",7132.90775812631,0
"wheat","PixelAccuracy","collectiondate",2355.54576810041,0
"wheat","Precision","genotype",10597.686309487,0
"wheat","Precision","collectiondate",1949.42743514234,0
"wheat","Recall","genotype",6673.08368759857,0
"wheat","Recall","collectiondate",1119.91152083225,3.65789936778768e-241
