collection_index,collection_folder,genotype_folder,raw_genotype,raw_individual,mapped_genotype,mapped_individual,picked_file,dst_path,status
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\001E1,1,1,1,1,E:\maize_tuinstra_download\Processed\07_17-18\001E1\001E1_ear_6.jpg,..\data\corn\images\1_1_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\001E2,1,2,1,2,E:\maize_tuinstra_download\Processed\07_17-18\001E2\001E2_ear_1.jpg,..\data\corn\images\1_1_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\002E1,2,1,2,1,E:\maize_tuinstra_download\Processed\07_17-18\002E1\002E1_ear_6.jpg,..\data\corn\images\1_2_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\002E2,2,2,2,2,E:\maize_tuinstra_download\Processed\07_17-18\002E2\002E2_ear_6.jpg,..\data\corn\images\1_2_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\003E1,3,1,3,1,E:\maize_tuinstra_download\Processed\07_17-18\003E1\003E1_ear_6.jpg,..\data\corn\images\1_3_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\003E2,3,2,3,2,E:\maize_tuinstra_download\Processed\07_17-18\003E2\003E2_ear_6.jpg,..\data\corn\images\1_3_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\004E1,4,1,4,1,E:\maize_tuinstra_download\Processed\07_17-18\004E1\004E1_ear_6.jpg,..\data\corn\images\1_4_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\004E2,4,2,4,2,E:\maize_tuinstra_download\Processed\07_17-18\004E2\004E2_ear_6.jpg,..\data\corn\images\1_4_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\005E1,5,1,5,1,E:\maize_tuinstra_download\Processed\07_17-18\005E1\005E1_ear_6.jpg,..\data\corn\images\1_5_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\005E2,5,2,5,2,E:\maize_tuinstra_download\Processed\07_17-18\005E2\005E2_ear_6.jpg,..\data\corn\images\1_5_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\006E1,6,1,6,1,E:\maize_tuinstra_download\Processed\07_17-18\006E1\006E1_ear_6.jpg,..\data\corn\images\1_6_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\006E2,6,2,6,2,E:\maize_tuinstra_download\Processed\07_17-18\006E2\006E2_ear_6.jpg,..\data\corn\images\1_6_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\007E1,7,1,7,1,E:\maize_tuinstra_download\Processed\07_17-18\007E1\007E1_ear_6.jpg,..\data\corn\images\1_7_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\007E2,7,2,7,2,E:\maize_tuinstra_download\Processed\07_17-18\007E2\007E2_ear_6.jpg,..\data\corn\images\1_7_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\008E1,8,1,8,1,E:\maize_tuinstra_download\Processed\07_17-18\008E1\008E1_ear_6.jpg,..\data\corn\images\1_8_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\008E2,8,2,8,2,E:\maize_tuinstra_download\Processed\07_17-18\008E2\008E2_ear_6.jpg,..\data\corn\images\1_8_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\009E1,9,1,9,1,E:\maize_tuinstra_download\Processed\07_17-18\009E1\009E1_ear_6.jpg,..\data\corn\images\1_9_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\009E2,9,2,9,2,E:\maize_tuinstra_download\Processed\07_17-18\009E2\009E2_ear_6.jpg,..\data\corn\images\1_9_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\010E1,10,1,10,1,E:\maize_tuinstra_download\Processed\07_17-18\010E1\010E1_ear_6.jpg,..\data\corn\images\1_10_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\010E2,10,2,10,2,E:\maize_tuinstra_download\Processed\07_17-18\010E2\010E2_ear_6.jpg,..\data\corn\images\1_10_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\011E1,11,1,11,1,E:\maize_tuinstra_download\Processed\07_17-18\011E1\011E1_ear_6.jpg,..\data\corn\images\1_11_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\011E2,11,2,11,2,E:\maize_tuinstra_download\Processed\07_17-18\011E2\011E2_ear_6.jpg,..\data\corn\images\1_11_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\012E1,12,1,12,1,E:\maize_tuinstra_download\Processed\07_17-18\012E1\012E1_ear_6.jpg,..\data\corn\images\1_12_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\012E2,12,2,12,2,E:\maize_tuinstra_download\Processed\07_17-18\012E2\012E2_ear_6.jpg,..\data\corn\images\1_12_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\013E1,13,1,13,1,E:\maize_tuinstra_download\Processed\07_17-18\013E1\013E1_ear_6.jpg,..\data\corn\images\1_13_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\013E2,13,2,13,2,E:\maize_tuinstra_download\Processed\07_17-18\013E2\013E2_ear_6.jpg,..\data\corn\images\1_13_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\014E1,14,1,14,1,E:\maize_tuinstra_download\Processed\07_17-18\014E1\014E1_ear_6.jpg,..\data\corn\images\1_14_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\014E2,14,2,14,2,E:\maize_tuinstra_download\Processed\07_17-18\014E2\014E2_ear_6.jpg,..\data\corn\images\1_14_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\015E1,15,1,15,1,E:\maize_tuinstra_download\Processed\07_17-18\015E1\015E1_ear_6.jpg,..\data\corn\images\1_15_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\015E2,15,2,15,2,E:\maize_tuinstra_download\Processed\07_17-18\015E2\015E2_ear_6.jpg,..\data\corn\images\1_15_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\016E1,16,1,16,1,E:\maize_tuinstra_download\Processed\07_17-18\016E1\016E1_ear_6.jpg,..\data\corn\images\1_16_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\016E2,16,2,16,2,E:\maize_tuinstra_download\Processed\07_17-18\016E2\016E2_ear_6.jpg,..\data\corn\images\1_16_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\017E1,17,1,17,1,E:\maize_tuinstra_download\Processed\07_17-18\017E1\017E1_ear_6.jpg,..\data\corn\images\1_17_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\017E2,17,2,17,2,E:\maize_tuinstra_download\Processed\07_17-18\017E2\017E2_ear_6.jpg,..\data\corn\images\1_17_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\018E1,18,1,18,1,E:\maize_tuinstra_download\Processed\07_17-18\018E1\018E1_ear_6.jpg,..\data\corn\images\1_18_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\018E2,18,2,18,2,E:\maize_tuinstra_download\Processed\07_17-18\018E2\018E2_ear_6.jpg,..\data\corn\images\1_18_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\019E1,19,1,19,1,E:\maize_tuinstra_download\Processed\07_17-18\019E1\019E1_ear_6.jpg,..\data\corn\images\1_19_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\019E2,19,2,19,2,E:\maize_tuinstra_download\Processed\07_17-18\019E2\019E2_ear_6.jpg,..\data\corn\images\1_19_2.jpg,copied
