crop,train_date,1,2,3,4,5
sorghum,1,NA,0.859762986,0.810879218,0.720446953,0.827202542
sorghum,2,0.831847102,NA,0.799983593,0.703225062,0.820358505
sorghum,3,0.841006389,0.869903578,NA,0.819167543,0.874306996
sorghum,4,0.821501347,0.860605431,0.861304477,NA,0.89610337
sorghum,5,0.834336954,0.862271318,0.85546023,0.845121118,NA
wheat,1,NA,0.736087649,0.693126166,0.638557432,0.280447111
wheat,2,0.774811045,NA,0.764694669,0.671187117,0.304138426
wheat,3,0.672110757,0.670995088,NA,0.833766911,0.4430105
wheat,4,0.672367371,0.662588228,0.815445719,NA,0.540236878
wheat,5,0.431756631,0.481983408,0.413005255,0.593457191,NA
