"crop","collectiondate","genotype","augmented.","modelname","IoU","Dice","Precision","Recall","F1","MAE","Hausdorff","PixelAccuracy"
"sorghum",1,10,"no","SegFormer",0.88161457,0.93708307,0.884643067460577,0.996131884324922,0.937083051757897,0.013851166,13.9283882771841,0.986148834228516
"sorghum",1,10,"no","SegFormer",0.9490401,0.9738539,0.979466858789625,0.968304843304843,0.973853868194842,0.0038986206,5.3851648071345,0.996101379394531
"sorghum",1,10,"yes","SegFormer",0.9443944,0.9714021,0.982213438735178,0.960826210826211,0.971402119123547,0.0042419434,6.70820393249937,0.995758056640625
"sorghum",1,10,"yes","SegFormer",0.94455844,0.97148883,0.982869936478184,0.960368335368335,0.971488858010396,0.0042266846,6.32455532033676,0.995773315429688
"sorghum",1,10,"yes","SegFormer",0.9517115,0.97525835,0.975904228222109,0.97461334961335,0.975258361757369,0.0037078857,5,0.996292114257812
"sorghum",1,10,"yes","SegFormer",0.9484125,0.9735233,0.979058399794186,0.968050468050468,0.973523317387634,0.0039482117,5,0.996051788330078
"sorghum",1,10,"yes","SegFormer",0.92625755,0.96171725,0.987981543084022,0.936813186813187,0.961717240298741,0.005592346,8.94427190999916,0.994407653808594
"sorghum",1,10,"yes","SegFormer",0.90984756,0.952796,0.928354244574145,0.978559587400995,0.952796011334696,0.010040283,13.8924439894498,0.989959716796875
"sorghum",1,10,"yes","SegFormer",0.8369821,0.91125774,0.838979636115674,0.997163381838276,0.911257743064907,0.020111084,14.3178210632764,0.979888916015625
"sorghum",1,10,"yes","SegFormer",0.9129988,0.95452106,0.928583870405853,0.981948793516301,0.954521038495971,0.009689331,9.05538513813742,0.990310668945312
"sorghum",1,10,"yes","SegFormer",0.8683907,0.92956007,0.869672657252888,0.998305396942347,0.929560072034988,0.015666962,13.4536240470737,0.984333038330078
"sorghum",1,10,"yes","SegFormer",0.81894183,0.90045965,0.819213815590846,0.999594768834039,0.900459621351652,0.022884369,14.3178210632764,0.977115631103516
"sorghum",1,10,"no","SegFormer",0.9438585,0.9711185,0.963713588174309,0.97863813890304,0.971118525258653,0.006538391,18,0.993461608886719
"sorghum",1,10,"yes","SegFormer",0.94802517,0.97331923,0.979105811196261,0.967600611309221,0.973319212899699,0.005958557,20.2237484161567,0.994041442871094
"sorghum",1,10,"yes","SegFormer",0.95021087,0.9744699,0.969636852723605,0.979351332993717,0.974469882571598,0.0057640076,16.7630546142402,0.994235992431641
"sorghum",1,10,"yes","SegFormer",0.9484949,0.9735667,0.96596683605242,0.981287145525556,0.973566723385616,0.00598526,14.3178210632764,0.994014739990234
"sorghum",1,10,"yes","SegFormer",0.9443607,0.9713842,0.964666086141068,0.978196637799287,0.971384247002681,0.0064735413,18,0.993526458740234
"sorghum",1,10,"yes","SegFormer",0.9512122,0.97499615,0.979997255197969,0.970045848191544,0.974996159819768,0.0055885315,16,0.994411468505859
"sorghum",1,11,"no","SegFormer",0.8976502,0.946065,0.914709818712739,0.979646086888536,0.946064983766642,0.016349792,14.8660687473185,0.983650207519531
"sorghum",1,11,"no","SegFormer",0.892225,0.94304323,0.912613904996666,0.975571826605326,0.943043260397528,0.020812988,13.4164078649987,0.97918701171875
"sorghum",1,11,"yes","SegFormer",0.9007387,0.9477775,0.920216444932666,0.977040540832415,0.947777533339619,0.019016266,18.6010752377383,0.980983734130859
"sorghum",1,11,"yes","SegFormer",0.8057149,0.89240545,0.806896551724138,0.998185705954772,0.892405429934153,0.042510986,13.4536240470737,0.957489013671875
"sorghum",1,11,"yes","SegFormer",0.7726438,0.8717418,0.772811513866395,0.999719216397762,0.87174175079102,0.051956177,19.723082923316,0.948043823242188
"sorghum",1,11,"yes","SegFormer",0.897755,0.9461232,0.931402502825095,0.961316659107108,0.94612318648031,0.0193367,13.9283882771841,0.980663299560547
"sorghum",1,11,"yes","SegFormer",0.8908387,0.9422683,0.904319332737563,0.983541761161148,0.942268297225154,0.02128601,8.60232526704263,0.978713989257812
"sorghum",1,11,"yes","SegFormer",0.8820728,0.93734187,0.974703134672745,0.902739047718329,0.937341866349159,0.017665863,16.0312195418814,0.982334136962891
"sorghum",1,11,"yes","SegFormer",0.8752023,0.93344843,0.967218154379297,0.901957207265904,0.93344841071838,0.018825531,18,0.981174468994141
"sorghum",1,11,"yes","SegFormer",0.8671112,0.9288266,0.969715873646005,0.891245993067681,0.928826541005201,0.019992828,18.7882942280559,0.980007171630859
