"crop","metric","mean_diff","sd_diff"
"corn","F1",0.000148173764981176,0.0124295654773411
"corn","IoU",0.000380969346820255,0.0204292798642069
"corn","Precision",0.00726914964946915,0.0178095491365637
"corn","Recall",-0.00698562901610035,0.0160941085918697
"sorghum","F1",-0.00664292561330745,0.00681579179288862
"sorghum","IoU",-0.0115464886227914,0.0114204025970138
"sorghum","Precision",-0.0114406208686988,0.0154645910764446
"sorghum","Recall",-0.00118636378390407,0.012643301921873
"wheat","F1",-0.00048302517926189,0.0139800021298801
"wheat","IoU",-0.00018463424588189,0.0227927612720561
"wheat","Precision",0.00798933297853448,0.0209293459917735
"wheat","Recall",-0.00899396073104754,0.0393192475055746
