crop,modelname,train_date,test_date,collectiondate,genotype,individual_id,img_name,IoU
sorghum,SegFormer,1,2,2,01,1,2_01_1.jpg,0.8039932
sorghum,SegFormer,1,2,2,01,10,2_01_10.jpg,0.8544598
sorghum,SegFormer,1,2,2,01,10,2_01_10_aug1.jpg,0.8371391
sorghum,SegFormer,1,2,2,01,10,2_01_10_aug2.jpg,0.8680268
sorghum,SegFormer,1,2,2,01,10,2_01_10_aug3.jpg,0.8523886
sorghum,SegFormer,1,2,2,01,10,2_01_10_aug4.jpg,0.8620232
sorghum,SegFormer,1,2,2,01,10,2_01_10_aug5.jpg,0.83740133
sorghum,SegFormer,1,2,2,01,1,2_01_1_aug1.jpg,0.8051506
sorghum,SegFormer,1,2,2,01,1,2_01_1_aug2.jpg,0.83100677
sorghum,SegFormer,1,2,2,01,1,2_01_1_aug3.jpg,0.8285331
sorghum,SegFormer,1,2,2,01,1,2_01_1_aug4.jpg,0.803877
sorghum,SegFormer,1,2,2,01,1,2_01_1_aug5.jpg,0.8189876
sorghum,SegFormer,1,2,2,01,5,2_01_5.jpg,0.8590988
sorghum,SegFormer,1,2,2,01,5,2_01_5_aug1.jpg,0.8688443
sorghum,SegFormer,1,2,2,01,5,2_01_5_aug2.jpg,0.871397
sorghum,SegFormer,1,2,2,01,5,2_01_5_aug3.jpg,0.8720333
sorghum,SegFormer,1,2,2,01,5,2_01_5_aug4.jpg,0.85495037
sorghum,SegFormer,1,2,2,01,5,2_01_5_aug5.jpg,0.8705776
sorghum,SegFormer,1,2,2,02,1,2_02_1.jpg,0.94371396
sorghum,SegFormer,1,2,2,02,10,2_02_10.jpg,0.95497906
sorghum,SegFormer,1,2,2,02,10,2_02_10_aug1.jpg,0.94940215
sorghum,SegFormer,1,2,2,02,10,2_02_10_aug2.jpg,0.9568244
sorghum,SegFormer,1,2,2,02,10,2_02_10_aug3.jpg,0.9490895
sorghum,SegFormer,1,2,2,02,10,2_02_10_aug4.jpg,0.95583415
sorghum,SegFormer,1,2,2,02,10,2_02_10_aug5.jpg,0.9578313
sorghum,SegFormer,1,2,2,02,1,2_02_1_aug1.jpg,0.9411224
sorghum,SegFormer,1,2,2,02,1,2_02_1_aug2.jpg,0.93690014
sorghum,SegFormer,1,2,2,02,1,2_02_1_aug3.jpg,0.93096304
sorghum,SegFormer,1,2,2,02,1,2_02_1_aug4.jpg,0.94505984
sorghum,SegFormer,1,2,2,02,1,2_02_1_aug5.jpg,0.94557
sorghum,SegFormer,1,2,2,02,5,2_02_5.jpg,0.9259394
sorghum,SegFormer,1,2,2,02,5,2_02_5_aug1.jpg,0.9322212
sorghum,SegFormer,1,2,2,02,5,2_02_5_aug2.jpg,0.92480206
sorghum,SegFormer,1,2,2,02,5,2_02_5_aug3.jpg,0.9225902
sorghum,SegFormer,1,2,2,02,5,2_02_5_aug4.jpg,0.9262555
