crop,modelname,train_date,test_date,collectiondate,genotype,individual_id,img_name,IoU
corn,SegFormer,1,1,1,100,4,1_100_4.jpg,0.8906556
corn,SegFormer,1,1,1,100,4,1_100_4_aug1.jpg,0.8869139
corn,SegFormer,1,1,1,100,4,1_100_4_aug2.jpg,0.8781035
corn,SegFormer,1,1,1,100,4,1_100_4_aug3.jpg,0.8638132
corn,SegFormer,1,1,1,100,4,1_100_4_aug4.jpg,0.86277026
corn,SegFormer,1,1,1,100,4,1_100_4_aug5.jpg,0.87476844
corn,SegFormer,1,1,1,101,4,1_101_4.jpg,0.9221264
corn,SegFormer,1,1,1,101,4,1_101_4_aug1.jpg,0.9276413
corn,SegFormer,1,1,1,101,4,1_101_4_aug2.jpg,0.92947674
corn,SegFormer,1,1,1,101,4,1_101_4_aug3.jpg,0.8740106
corn,SegFormer,1,1,1,101,4,1_101_4_aug4.jpg,0.9113458
corn,SegFormer,1,1,1,101,4,1_101_4_aug5.jpg,0.92127985
corn,SegFormer,1,1,1,102,4,1_102_4.jpg,0.4494699
corn,SegFormer,1,1,1,102,4,1_102_4_aug1.jpg,0.12862536
corn,SegFormer,1,1,1,102,4,1_102_4_aug2.jpg,0.18824393
corn,SegFormer,1,1,1,102,4,1_102_4_aug3.jpg,0.0865255
corn,SegFormer,1,1,1,102,4,1_102_4_aug4.jpg,0.53209084
corn,SegFormer,1,1,1,102,4,1_102_4_aug5.jpg,0.48141047
corn,SegFormer,1,1,1,103,4,1_103_4.jpg,0.8921191
corn,SegFormer,1,1,1,103,4,1_103_4_aug1.jpg,0.8870051
corn,SegFormer,1,1,1,103,4,1_103_4_aug2.jpg,0.8872488
corn,SegFormer,1,1,1,103,4,1_103_4_aug3.jpg,0.8610324
corn,SegFormer,1,1,1,103,4,1_103_4_aug4.jpg,0.88430995
corn,SegFormer,1,1,1,103,4,1_103_4_aug5.jpg,0.89323944
corn,SegFormer,1,1,1,104,4,1_104_4.jpg,0.8220084
corn,SegFormer,1,1,1,104,4,1_104_4_aug1.jpg,0.8417775
corn,SegFormer,1,1,1,104,4,1_104_4_aug2.jpg,0.75474274
corn,SegFormer,1,1,1,104,4,1_104_4_aug3.jpg,0.80835104
