crop,modelname,train_date,test_date,collectiondate,genotype,individual_id,img_name,IoU
wheat,U-NET,1,1,1,10,1,1_10_1.jpg,0.71411026
wheat,U-NET,1,1,1,10,10,1_10_10.jpg,0.8888176
wheat,U-NET,1,1,1,10,10,1_10_10_aug1.jpg,0.8758882
wheat,U-NET,1,1,1,10,10,1_10_10_aug2.jpg,0.88945603
wheat,U-NET,1,1,1,10,10,1_10_10_aug3.jpg,0.85991853
wheat,U-NET,1,1,1,10,10,1_10_10_aug4.jpg,0.8897448
wheat,U-NET,1,1,1,10,10,1_10_10_aug5.jpg,0.0
wheat,U-NET,1,1,1,10,1,1_10_1_aug1.jpg,0.7638593
wheat,U-NET,1,1,1,10,1,1_10_1_aug2.jpg,0.7706093
wheat,U-NET,1,1,1,10,1,1_10_1_aug3.jpg,0.8785942
wheat,U-NET,1,1,1,10,1,1_10_1_aug4.jpg,0.7589309
wheat,U-NET,1,1,1,10,1,1_10_1_aug5.jpg,0.75980073
wheat,U-NET,1,1,1,10,5,1_10_5.jpg,0.8637062
wheat,U-NET,1,1,1,10,5,1_10_5_aug1.jpg,0.91802055
wheat,U-NET,1,1,1,10,5,1_10_5_aug2.jpg,0.9132601
wheat,U-NET,1,1,1,10,5,1_10_5_aug3.jpg,0.8696249
wheat,U-NET,1,1,1,10,5,1_10_5_aug4.jpg,0.830643
wheat,U-NET,1,1,1,10,5,1_10_5_aug5.jpg,0.8759092
wheat,U-NET,1,1,1,11,1,1_11_1.jpg,0.8678445
wheat,U-NET,1,1,1,11,10,1_11_10.jpg,0.85844606
wheat,U-NET,1,1,1,11,10,1_11_10_aug1.jpg,0.8683386
wheat,U-NET,1,1,1,11,10,1_11_10_aug2.jpg,0.8209799
wheat,U-NET,1,1,1,11,10,1_11_10_aug3.jpg,0.3815445
wheat,U-NET,1,1,1,11,10,1_11_10_aug4.jpg,0.8448167
wheat,U-NET,1,1,1,11,10,1_11_10_aug5.jpg,0.8416262
wheat,U-NET,1,1,1,11,1,1_11_1_aug1.jpg,0.8677627
wheat,U-NET,1,1,1,11,1,1_11_1_aug2.jpg,0.85141426
wheat,U-NET,1,1,1,11,1,1_11_1_aug3.jpg,0.84198815
wheat,U-NET,1,1,1,11,1,1_11_1_aug4.jpg,0.8670194
wheat,U-NET,1,1,1,11,1,1_11_1_aug5.jpg,0.19588415
wheat,U-NET,1,1,1,11,5,1_11_5.jpg,0.6245096
wheat,U-NET,1,1,1,11,5,1_11_5_aug1.jpg,0.85109055
wheat,U-NET,1,1,1,11,5,1_11_5_aug2.jpg,0.69290626
wheat,U-NET,1,1,1,11,5,1_11_5_aug3.jpg,0.80720544
wheat,U-NET,1,1,1,11,5,1_11_5_aug4.jpg,0.61927134
wheat,U-NET,1,1,1,11,5,1_11_5_aug5.jpg,0.8306811
wheat,U-NET,1,1,1,12,1,1_12_1.jpg,0.8759064
wheat,U-NET,1,1,1,12,10,1_12_10.jpg,0.83414125
wheat,U-NET,1,1,1,12,10,1_12_10_aug1.jpg,0.8865827
wheat,U-NET,1,1,1,12,10,1_12_10_aug2.jpg,0.8551852
wheat,U-NET,1,1,1,12,10,1_12_10_aug3.jpg,0.6125675
wheat,U-NET,1,1,1,12,10,1_12_10_aug4.jpg,0.82658356
wheat,U-NET,1,1,1,12,10,1_12_10_aug5.jpg,0.88248175
wheat,U-NET,1,1,1,12,1,1_12_1_aug1.jpg,0.9091377
wheat,U-NET,1,1,1,12,1,1_12_1_aug2.jpg,0.8856374
wheat,U-NET,1,1,1,12,1,1_12_1_aug3.jpg,0.90141594
wheat,U-NET,1,1,1,12,1,1_12_1_aug4.jpg,0.8440089
