crop,modelname,train_date,test_date,collectiondate,genotype,individual_id,img_name,IoU
wheat,SegFormer,1,1,1,10,1,1_10_1.jpg,0.87717456
wheat,SegFormer,1,1,1,10,10,1_10_10.jpg,0.81100833
wheat,SegFormer,1,1,1,10,10,1_10_10_aug1.jpg,0.8326951
wheat,SegFormer,1,1,1,10,10,1_10_10_aug2.jpg,0.818141
wheat,SegFormer,1,1,1,10,10,1_10_10_aug3.jpg,0.77977407
wheat,SegFormer,1,1,1,10,10,1_10_10_aug4.jpg,0.8134951
wheat,SegFormer,1,1,1,10,10,1_10_10_aug5.jpg,0.56515336
wheat,SegFormer,1,1,1,10,1,1_10_1_aug1.jpg,0.8880597
wheat,SegFormer,1,1,1,10,1,1_10_1_aug2.jpg,0.85169494
wheat,SegFormer,1,1,1,10,1,1_10_1_aug3.jpg,0.8501441
wheat,SegFormer,1,1,1,10,1,1_10_1_aug4.jpg,0.880651
wheat,SegFormer,1,1,1,10,1,1_10_1_aug5.jpg,0.8159733
wheat,SegFormer,1,1,1,10,5,1_10_5.jpg,0.8977585
wheat,SegFormer,1,1,1,10,5,1_10_5_aug1.jpg,0.902102
wheat,SegFormer,1,1,1,10,5,1_10_5_aug2.jpg,0.8891967
wheat,SegFormer,1,1,1,10,5,1_10_5_aug3.jpg,0.8756154
wheat,SegFormer,1,1,1,10,5,1_10_5_aug4.jpg,0.89490443
wheat,SegFormer,1,1,1,10,5,1_10_5_aug5.jpg,0.8948353
wheat,SegFormer,1,1,1,11,1,1_11_1.jpg,0.8420675
wheat,SegFormer,1,1,1,11,10,1_11_10.jpg,0.8384848
wheat,SegFormer,1,1,1,11,10,1_11_10_aug1.jpg,0.8092182
wheat,SegFormer,1,1,1,11,10,1_11_10_aug2.jpg,0.8459401
wheat,SegFormer,1,1,1,11,10,1_11_10_aug3.jpg,0.75263745
wheat,SegFormer,1,1,1,11,10,1_11_10_aug4.jpg,0.84680593
wheat,SegFormer,1,1,1,11,10,1_11_10_aug5.jpg,0.83435404
wheat,SegFormer,1,1,1,11,1,1_11_1_aug1.jpg,0.83292556
wheat,SegFormer,1,1,1,11,1,1_11_1_aug2.jpg,0.84945095
wheat,SegFormer,1,1,1,11,1,1_11_1_aug3.jpg,0.8083056
wheat,SegFormer,1,1,1,11,1,1_11_1_aug4.jpg,0.8467283
wheat,SegFormer,1,1,1,11,1,1_11_1_aug5.jpg,0.8572924
wheat,SegFormer,1,1,1,11,5,1_11_5.jpg,0.86712617
wheat,SegFormer,1,1,1,11,5,1_11_5_aug1.jpg,0.88186
