crop,modelname,train_genotype,test_genotype,collectiondate,genotype,individual_id,img_name,IoU,Precision,Recall,F1
corn,SegFormer,first_half,1,1,1,4,1_1_4.jpg,0.6619106,0.7803826537800446,0.8134343701354011,0.7965658076392085
corn,SegFormer,first_half,1,1,1,4,1_1_4_aug1.jpg,0.69271296,0.7589157987200401,0.8881546098040943,0.818464786445082
corn,SegFormer,first_half,1,1,1,4,1_1_4_aug2.jpg,0.6110994,0.6823002205433814,0.8541428025964108,0.7586116944266914
corn,SegFormer,first_half,1,1,1,4,1_1_4_aug3.jpg,0.5665706,0.6706989584640481,0.7849149704819808,0.7233259351485952
corn,SegFormer,first_half,1,1,1,4,1_1_4_aug4.jpg,0.5169071,0.7144789821227251,0.6514817751931155,0.681527683893566
corn,SegFormer,first_half,1,1,1,4,1_1_4_aug5.jpg,0.6446532,0.7758759565042288,0.792169647839751,0.7839381476260373
corn,SegFormer,first_half,1,2,1,4,2_1_4.jpg,0.5494599,0.8077624813401891,0.6321186358178927,0.7092276045364353
corn,SegFormer,first_half,1,2,1,4,2_1_4_aug1.jpg,0.4926369,0.77023283995499,0.577505922056008,0.660089386718098
corn,SegFormer,first_half,1,2,1,4,2_1_4_aug2.jpg,0.65499604,0.8020586961590992,0.7812895479767661,0.7915379051877178
corn,SegFormer,first_half,1,2,1,4,2_1_4_aug3.jpg,0.55237067,0.7903391979711524,0.6472077100301782,0.7116479046616595
corn,SegFormer,first_half,1,2,1,4,2_1_4_aug4.jpg,0.5475407,0.8131002527379949,0.6263750527306357,0.707626885642539
corn,SegFormer,first_half,1,2,1,4,2_1_4_aug5.jpg,0.47654837,0.770199748065503,0.555537527987799,0.645489678574795
corn,SegFormer,first_half,1,3,1,4,3_1_4.jpg,0.93837744,0.9725684298407776,0.9638888888888889,0.9682092077532726
corn,SegFormer,first_half,1,3,1,4,3_1_4_aug1.jpg,0.930254,0.9733052124133775,0.9546099290780142,0.9638669252573474
corn,SegFormer,first_half,1,3,1,4,3_1_4_aug2.jpg,0.9395456,0.9723197809393417,0.9653664302600473,0.9688306296153504
corn,SegFormer,first_half,1,3,1,4,3_1_4_aug3.jpg,0.9208005,0.957608631566535,0.9599290780141844,0.958767450783625
corn,SegFormer,first_half,1,3,1,4,3_1_4_aug4.jpg,0.9386242,0.9713928868799809,0.965307328605201,0.9683405466295133
corn,SegFormer,first_half,1,3,1,4,3_1_4_aug5.jpg,0.9372996,0.9678353928930409,0.967434988179669,0.9676351491147696
corn,SegFormer,first_half,1,4,1,4,4_1_4.jpg,0.93396705,0.9710350628186931,0.9607323035314922,0.9658562091503268
corn,SegFormer,first_half,1,4,1,4,4_1_4_aug1.jpg,0.9175722,0.9396962253747055,0.9749830966869506,0.9570144986726568
corn,SegFormer,first_half,1,4,1,4,4_1_4_aug2.jpg,0.9230119,0.9547301815937034,0.9652571904093202,0.9599648269797755
corn,SegFormer,first_half,1,4,1,4,4_1_4_aug3.jpg,0.9253885,0.9415432191131727,0.9817964321006918,0.9612485996537325
corn,SegFormer,first_half,1,4,1,4,4_1_4_aug4.jpg,0.9266288,0.9563541024059222,0.9675456389452333,0.9619173194756845
corn,SegFormer,first_half,1,4,1,4,4_1_4_aug5.jpg,0.9247404,0.9632087797230207,0.9585998855775733,0.9608988061102133
corn,SegFormer,first_half,1,5,1,4,5_1_4.jpg,0.90503913,0.9363057324840764,0.9644156029380304,0.9501528085151227
corn,SegFormer,first_half,1,5,1,4,5_1_4_aug1.jpg,0.86580056,0.8940655564366905,0.9647721600228196,0.9280740867775682
corn,SegFormer,first_half,1,5,1,4,5_1_4_aug2.jpg,0.87491137,0.90129525074726,0.9676246167011339,0.9332828942843386
corn,SegFormer,first_half,1,5,1,4,5_1_4_aug3.jpg,0.8426012,0.8657324840764331,0.9692647792911645,0.914577936278303
corn,SegFormer,first_half,1,5,1,4,5_1_4_aug4.jpg,0.8097456,0.8521576469070502,0.9420951294302218,0.8948723159249475
corn,SegFormer,first_half,1,5,1,4,5_1_4_aug5.jpg,0.9148503,0.9503421034069267,0.9607787206731798,0.955531914893617
corn,SegFormer,first_half,1,6,1,4,6_1_4.jpg,0.8969025,0.9688901038819027,0.9234978373026212,0.9456495637557032
corn,SegFormer,first_half,1,6,1,4,6_1_4_aug1.jpg,0.7917935,0.9880208668770529,0.7994684454635468,0.8837999769558705
corn,SegFormer,first_half,1,6,1,4,6_1_4_aug2.jpg,0.82211244,0.9730560578661844,0.841263223721924,0.902372900304648
corn,SegFormer,first_half,1,6,1,4,6_1_4_aug3.jpg,0.7184441,0.9705922865013774,0.7344311845328052,0.8361565160639591
corn,SegFormer,first_half,1,6,1,4,6_1_4_aug4.jpg,0.894318,0.9703035635723714,0.9194851216842983,0.9442110614614829
corn,SegFormer,first_half,1,6,1,4,6_1_4_aug5.jpg,0.8475554,0.9761932753350576,0.8654437438115588,0.9174884671694152
corn,SegFormer,first_half,2,2,2,4,2_2_4.jpg,0.34224296,0.6346708628376606,0.42620641070799575,0.5099568011800654
corn,SegFormer,first_half,2,2,2,4,2_2_4_aug1.jpg,0.33872923,0.42966924873970247,0.6154455794293765,0.5060459054376946
corn,SegFormer,first_half,2,2,2,4,2_2_4_aug2.jpg,0.21098436,0.32328787764634975,0.37786192321239875,0.3484510130334159
corn,SegFormer,first_half,2,2,2,4,2_2_4_aug3.jpg,0.46718904,0.5501025115325474,0.7560760831278619,0.636849132176235
corn,SegFormer,first_half,2,2,2,4,2_2_4_aug4.jpg,0.37874418,0.7028547900082349,0.45095103909827405,0.5494045703250724
corn,SegFormer,first_half,2,2,2,4,2_2_4_aug5.jpg,0.34558776,0.5672022986059381,0.46935540683339205,0.5136606755649785
corn,SegFormer,first_half,2,3,2,4,3_2_4.jpg,0.7613322,0.8157130760856417,0.9194845923097901,0.8644958656496379
corn,SegFormer,first_half,2,3,2,4,3_2_4_aug1.jpg,0.9206276,0.9694667131404671,0.9481183528770112,0.9586736979974494
corn,SegFormer,first_half,2,3,2,4,3_2_4_aug2.jpg,0.671764,0.7084590573301426,0.9284155985819471,0.8036588964296253
corn,SegFormer,first_half,2,3,2,4,3_2_4_aug3.jpg,0.9251487,0.9791342481256189,0.9437551131715298,0.9611192112754288
corn,SegFormer,first_half,2,3,2,4,3_2_4_aug4.jpg,0.6718299,0.7451083158630328,0.8723070629942733,0.8037060301507538
corn,SegFormer,first_half,2,3,2,4,3_2_4_aug5.jpg,0.71433103,0.7605491166872961,0.9215980365421326,0.8333641575735158
corn,SegFormer,first_half,2,4,2,4,4_2_4.jpg,0.7492818,0.9528337362342197,0.7781433710625604,0.8566736699751262
corn,SegFormer,first_half,2,4,2,4,4_2_4_aug1.jpg,0.7185027,0.9164836314193076,0.7688426778976923,0.8361962019276649
corn,SegFormer,first_half,2,4,2,4,4_2_4_aug2.jpg,0.6635805,0.8200768981331357,0.7766517504606475,0.7977738221310922
corn,SegFormer,first_half,2,4,2,4,4_2_4_aug3.jpg,0.7678476,0.925185919682697,0.8186803544792489,0.8686807559817522
corn,SegFormer,first_half,2,4,2,4,4_2_4_aug4.jpg,0.76019377,0.9501921760648661,0.791743441256471,0.8637614569124369
corn,SegFormer,first_half,2,4,2,4,4_2_4_aug5.jpg,0.7342042,0.9605343723907598,0.7570413266649119,0.8467332368311293
corn,SegFormer,first_half,2,5,2,4,5_2_4.jpg,0.84273183,0.987627124866909,0.8517240287496438,0.9146548792927576
corn,SegFormer,first_half,2,5,2,4,5_2_4_aug1.jpg,0.8207237,0.9853554128647065,0.8308583731754425,0.9015357130587144
corn,SegFormer,first_half,2,5,2,4,5_2_4_aug2.jpg,0.83326536,0.9886152243470496,0.841338694867492,0.9090504780965087
corn,SegFormer,first_half,2,5,2,4,5_2_4_aug3.jpg,0.80347615,0.9822988593446,0.8152803723522148,0.8910305211433317
corn,SegFormer,first_half,2,5,2,4,5_2_4_aug4.jpg,0.82425535,0.9870967741935484,0.8332330684228857,0.9036622426729393
corn,SegFormer,first_half,2,5,2,4,5_2_4_aug5.jpg,0.6266915,0.9063035286056869,0.6701073362251845,0.7705106034404297
corn,SegFormer,first_half,2,6,2,4,6_2_4.jpg,0.908594,0.9411216198214999,0.9633543548662008,0.9521082155551438
corn,SegFormer,first_half,2,6,2,4,6_2_4_aug1.jpg,0.81800014,0.8798983680250171,0.9208113175387762,0.8998900622980311
corn,SegFormer,first_half,2,6,2,4,6_2_4_aug2.jpg,0.8085297,0.9683972014628717,0.8304414521902165,0.894129305756914
corn,SegFormer,first_half,2,6,2,4,6_2_4_aug3.jpg,0.63729304,0.8619033820424722,0.7097664905403102,0.778471547147237
corn,SegFormer,first_half,2,6,2,4,6_2_4_aug4.jpg,0.899176,0.9309572435601818,0.9634225328106357,0.9469116981890674
corn,SegFormer,first_half,2,6,2,4,6_2_4_aug5.jpg,0.9064136,0.9399833472106578,0.9620930628941537,0.9509097035040431
corn,SegFormer,first_half,3,2,3,4,2_3_4.jpg,0.28421855,0.42449147816810917,0.4623937041145091,0.44263268994981864
corn,SegFormer,first_half,3,2,3,4,2_3_4_aug1.jpg,0.33038002,0.47455914547597855,0.5209422701103893,0.4966701496858988
