crop,collectiondate,genotype,augmented?,modelname,IoU,Precision,Recall,F1
sorghum,1,10,no,U-NET,0.8901335,0.8962339477011112,0.9924111254374655,0.9418736779539535
sorghum,1,10,no,U-NET,0.95407856,0.9795239314051702,0.9734940984940985,0.9764997065652828
sorghum,1,10,no,U-NET,0.944628,0.9820945242556736,0.9611818644931228,0.9715256680912414
sorghum,1,11,no,U-NET,0.8935643,0.9294920394238059,0.9585363946730604,0.9437908161301497
sorghum,1,11,no,U-NET,0.9137488,0.9350458487715013,0.9756798202984945,0.9549307684177148
sorghum,1,11,no,U-NET,0.76440823,0.9979311846689896,0.765621519269325,0.8664754821631161
sorghum,1,12,no,U-NET,0.9481354,0.9545767829597296,0.9929332240884883,0.9733772861899901
sorghum,1,12,no,U-NET,0.9272218,0.9313005882057211,0.9952987320008596,0.9622367088278836
sorghum,1,12,no,U-NET,0.95604765,0.9859942044984131,0.9692099016615802,0.9775300112862957
sorghum,1,13,no,U-NET,0.9130577,0.9158861474543533,0.9966291243654822,0.9545532238154022
sorghum,1,13,no,U-NET,0.9389787,0.9448798521256931,0.9933926697500874,0.9685291498512666
sorghum,1,13,no,U-NET,0.958852,0.9853158933859822,0.9727523755380492,0.9789938289263966
sorghum,1,15,no,U-NET,0.7852818,0.9945976154992549,0.7886457076737488,0.8797286720584399
sorghum,1,15,no,U-NET,0.7674236,0.971500478536741,0.7850983986937466,0.8684093789607098
sorghum,1,15,no,U-NET,0.84548426,0.9879411046214661,0.8543006932575423,0.9162736091944553
sorghum,1,16,no,U-NET,0.9640381,0.9758944958468146,0.9875543301357536,0.9816897923447344
sorghum,1,16,no,U-NET,0.9548579,0.9695948921180096,0.9843316942333482,0.976907719609583
sorghum,1,16,no,U-NET,0.89378977,0.8951932316201457,0.9982490068994355,0.9439165729677634
sorghum,1,17,no,U-NET,0.8901829,0.9015575381823681,0.9860249731249483,0.941901338915439
