crop,collectiondate,genotype,augmented?,modelname,IoU
wheat,1,10,no,U-NET,0.81302494
wheat,1,10,no,U-NET,0.88046014
wheat,1,10,yes,U-NET,0.8898748
wheat,1,10,yes,U-NET,0.7994063
wheat,1,10,yes,U-NET,0.8337983
wheat,1,10,yes,U-NET,0.87627435
wheat,1,10,yes,U-NET,0.6261062
wheat,1,10,yes,U-NET,0.78426427
wheat,1,10,yes,U-NET,0.71135134
wheat,1,10,yes,U-NET,0.82551175
wheat,1,10,yes,U-NET,0.8002721
wheat,1,10,yes,U-NET,0.7596314
wheat,1,10,no,U-NET,0.82090133
wheat,1,10,yes,U-NET,0.9067164
wheat,1,10,yes,U-NET,0.8708385
wheat,1,10,yes,U-NET,0.89849406
wheat,1,10,yes,U-NET,0.781588
wheat,1,10,yes,U-NET,0.8412656
wheat,1,11,no,U-NET,0.7777084
wheat,1,11,no,U-NET,0.0046296297
wheat,1,11,yes,U-NET,0.014876033
wheat,1,11,yes,U-NET,0.13125
wheat,1,11,yes,U-NET,0.054000657
wheat,1,11,yes,U-NET,0.0
wheat,1,11,yes,U-NET,0.0
wheat,1,11,yes,U-NET,0.88554215
wheat,1,11,yes,U-NET,0.7892173
wheat,1,11,yes,U-NET,0.48342645
wheat,1,11,yes,U-NET,0.56270957
wheat,1,11,yes,U-NET,0.7158158
wheat,1,11,no,U-NET,0.69178855
wheat,1,11,yes,U-NET,0.8784557
wheat,1,11,yes,U-NET,0.75383145
wheat,1,11,yes,U-NET,0.88548386
wheat,1,11,yes,U-NET,0.6665864
wheat,1,11,yes,U-NET,0.82198256
wheat,1,12,no,U-NET,0.9246516
wheat,1,12,no,U-NET,0.716264
wheat,1,12,yes,U-NET,0.8670419
wheat,1,12,yes,U-NET,0.9120148
wheat,1,12,yes,U-NET,0.5389935
wheat,1,12,yes,U-NET,0.6957627
wheat,1,12,yes,U-NET,0.6651848
wheat,1,12,yes,U-NET,0.9330427
wheat,1,12,yes,U-NET,0.884387
wheat,1,12,yes,U-NET,0.6476786
wheat,1,12,yes,U-NET,0.85983825
wheat,1,12,yes,U-NET,0.92406803
wheat,1,12,no,U-NET,0.907108
wheat,1,12,yes,U-NET,0.90694046
wheat,1,12,yes,U-NET,0.9025157
wheat,1,12,yes,U-NET,0.90005165
wheat,1,12,yes,U-NET,0.9062901
wheat,1,12,yes,U-NET,0.8815757
wheat,1,13,no,U-NET,0.92016304
wheat,1,13,no,U-NET,0.8649524
wheat,1,13,yes,U-NET,0.8959078
wheat,1,13,yes,U-NET,0.88453203
wheat,1,13,yes,U-NET,0.9096983
wheat,1,13,yes,U-NET,0.86287564
wheat,1,13,yes,U-NET,0.86111635
wheat,1,13,yes,U-NET,0.9301498
wheat,1,13,yes,U-NET,0.9134075
wheat,1,13,yes,U-NET,0.88697183
wheat,1,13,yes,U-NET,0.9189934
wheat,1,13,yes,U-NET,0.9042516
wheat,1,13,no,U-NET,0.9042529
wheat,1,13,yes,U-NET,0.8661383
wheat,1,13,yes,U-NET,0.8881166
wheat,1,13,yes,U-NET,0.83751315
wheat,1,13,yes,U-NET,0.8999541
wheat,1,13,yes,U-NET,0.894939
wheat,1,14,no,U-NET,0.7596398
wheat,1,14,no,U-NET,0.9149144
wheat,1,14,yes,U-NET,0.91293657
wheat,1,14,yes,U-NET,0.9214651
wheat,1,14,yes,U-NET,0.9212585
wheat,1,14,yes,U-NET,0.91396976
wheat,1,14,yes,U-NET,0.91431826
wheat,1,14,yes,U-NET,0.8915101
wheat,1,14,yes,U-NET,0.64877915
wheat,1,14,yes,U-NET,0.6051042
wheat,1,14,yes,U-NET,0.7649015
wheat,1,14,yes,U-NET,0.4834245
wheat,1,14,no,U-NET,0.87286377
wheat,1,14,yes,U-NET,0.91277206
wheat,1,14,yes,U-NET,0.9215385
wheat,1,14,yes,U-NET,0.8531995
wheat,1,14,yes,U-NET,0.7826025
wheat,1,14,yes,U-NET,0.8707982
wheat,1,15,no,U-NET,0.9107502
wheat,1,15,no,U-NET,0.9313465
wheat,1,15,yes,U-NET,0.9306019
wheat,1,15,yes,U-NET,0.9260399
wheat,1,15,yes,U-NET,0.9302786
wheat,1,15,yes,U-NET,0.93122256
wheat,1,15,yes,U-NET,0.9285999
wheat,1,15,yes,U-NET,0.7092199
wheat,1,15,yes,U-NET,0.9119263
wheat,1,15,yes,U-NET,0.92248404
wheat,1,15,yes,U-NET,0.91197234
wheat,1,15,yes,U-NET,0.6371668
wheat,1,15,no,U-NET,0.8522431
wheat,1,15,yes,U-NET,0.65991586
wheat,1,15,yes,U-NET,0.80708295
wheat,1,15,yes,U-NET,0.86354136
wheat,1,15,yes,U-NET,0.6980774
wheat,1,15,yes,U-NET,0.85668606
wheat,1,16,no,U-NET,0.8738739
wheat,1,16,no,U-NET,0.74592185
wheat,1,16,yes,U-NET,0.9149128
wheat,1,16,yes,U-NET,0.9061152
wheat,1,16,yes,U-NET,0.8884285
wheat,1,16,yes,U-NET,0.53311414
wheat,1,16,yes,U-NET,0.7036633
wheat,1,16,yes,U-NET,0.8862956
wheat,1,16,yes,U-NET,0.8939273
wheat,1,16,yes,U-NET,0.8965311
wheat,1,16,yes,U-NET,0.8624424
wheat,1,16,yes,U-NET,0.86694264
wheat,1,16,no,U-NET,0.9497427
wheat,1,16,yes,U-NET,0.9486436
wheat,1,16,yes,U-NET,0.9487715
wheat,1,16,yes,U-NET,0.94146496
wheat,1,16,yes,U-NET,0.9504831
wheat,1,16,yes,U-NET,0.9253369
wheat,1,17,no,U-NET,0.9031273
wheat,1,17,no,U-NET,0.8035552
wheat,1,17,yes,U-NET,0.15907536
wheat,1,17,yes,U-NET,0.2274849
wheat,1,17,yes,U-NET,0.060247593
wheat,1,17,yes,U-NET,0.57855624
wheat,1,17,yes,U-NET,0.45361793
wheat,1,17,yes,U-NET,0.85705096
wheat,1,17,yes,U-NET,0.8982354
wheat,1,17,yes,U-NET,0.9114059
wheat,1,17,yes,U-NET,0.8917376
wheat,1,17,yes,U-NET,0.8980872
wheat,1,17,no,U-NET,0.9196051
wheat,1,17,yes,U-NET,0.92255735
wheat,1,17,yes,U-NET,0.9235709
wheat,1,17,yes,U-NET,0.9245907
wheat,1,17,yes,U-NET,0.92085093
wheat,1,17,yes,U-NET,0.9213396
wheat,1,18,no,U-NET,0.9393491
wheat,1,18,no,U-NET,0.90160114
wheat,1,18,yes,U-NET,0.8266492
wheat,1,18,yes,U-NET,0.6803586
wheat,1,18,yes,U-NET,0.78205746
wheat,1,18,yes,U-NET,0.89150506
wheat,1,18,yes,U-NET,0.8488321
wheat,1,18,yes,U-NET,0.93952906
wheat,1,18,yes,U-NET,0.93155336
wheat,1,18,yes,U-NET,0.92718613
wheat,1,18,yes,U-NET,0.93236387
wheat,1,18,yes,U-NET,0.9326868
wheat,1,18,no,U-NET,0.91432714
wheat,1,18,yes,U-NET,0.90860146
wheat,1,18,yes,U-NET,0.9046239
wheat,1,18,yes,U-NET,0.9155154
wheat,1,18,yes,U-NET,0.89466876
wheat,1,18,yes,U-NET,0.91401106
wheat,1,19,no,U-NET,0.025770385
wheat,1,19,no,U-NET,0.0
wheat,1,19,yes,U-NET,0.0
wheat,1,19,yes,U-NET,0.0
wheat,1,19,yes,U-NET,0.00029542096
wheat,1,19,yes,U-NET,0.0
wheat,1,19,yes,U-NET,0.0
wheat,1,19,yes,U-NET,0.7082957
wheat,1,19,yes,U-NET,0.040364757
wheat,1,19,yes,U-NET,0.018345704
wheat,1,19,yes,U-NET,0.061374795
wheat,1,19,yes,U-NET,0.03080698
wheat,1,19,no,U-NET,0.9437037
wheat,1,19,yes,U-NET,0.9450037
wheat,1,19,yes,U-NET,0.94426763
wheat,1,19,yes,U-NET,0.93880564
wheat,1,19,yes,U-NET,0.9425678
wheat,1,19,yes,U-NET,0.94418085
wheat,1,1,no,U-NET,0.35490605
wheat,1,1,no,U-NET,0.91032284
wheat,1,1,yes,U-NET,0.90003973
wheat,1,1,yes,U-NET,0.90659016
wheat,1,1,yes,U-NET,0.87969184
wheat,1,1,yes,U-NET,0.9022526
wheat,1,1,yes,U-NET,0.9061241
wheat,1,1,yes,U-NET,0.5701212
wheat,1,1,yes,U-NET,0.45505086
wheat,1,1,yes,U-NET,0.49846074
wheat,1,1,yes,U-NET,0.45225334
wheat,1,1,yes,U-NET,0.41066763
wheat,1,1,no,U-NET,0.8092187
wheat,1,1,yes,U-NET,0.8167611
wheat,1,1,yes,U-NET,0.91494364
wheat,1,1,yes,U-NET,0.7525051
wheat,1,1,yes,U-NET,0.88326937
wheat,1,1,yes,U-NET,0.4163111
wheat,1,20,no,U-NET,0.9102327
wheat,1,20,no,U-NET,0.91468775
wheat,1,20,yes,U-NET,0.9163604
wheat,1,20,yes,U-NET,0.9063534
wheat,1,20,yes,U-NET,0.90607065
wheat,1,20,yes,U-NET,0.9055738
wheat,1,20,yes,U-NET,0.9071343
wheat,1,20,yes,U-NET,0.8997829
wheat,1,20,yes,U-NET,0.9047619
wheat,1,20,yes,U-NET,0.87344325
wheat,1,20,yes,U-NET,0.9050341
wheat,1,20,yes,U-NET,0.90014577
wheat,1,20,no,U-NET,0.8946757
wheat,1,20,yes,U-NET,0.79212475
wheat,1,20,yes,U-NET,0.4139277
wheat,1,20,yes,U-NET,0.53816324
wheat,1,20,yes,U-NET,0.8954934
wheat,1,20,yes,U-NET,0.8719626
wheat,1,21,no,U-NET,0.86280054
wheat,1,21,no,U-NET,0.1272571
wheat,1,21,yes,U-NET,0.39907485
wheat,1,21,yes,U-NET,0.75741446
wheat,1,21,yes,U-NET,0.81732655
wheat,1,21,yes,U-NET,0.06537634
wheat,1,21,yes,U-NET,0.0051835855
wheat,1,21,yes,U-NET,0.8708666
wheat,1,21,yes,U-NET,0.8275115
wheat,1,21,yes,U-NET,0.8620495
wheat,1,21,yes,U-NET,0.8630834
wheat,1,21,yes,U-NET,0.8608277
wheat,1,21,no,U-NET,0.076129034
wheat,1,21,yes,U-NET,0.041122716
wheat,1,21,yes,U-NET,0.36425245
wheat,1,21,yes,U-NET,0.58627605
wheat,1,21,yes,U-NET,0.043762248
wheat,1,21,yes,U-NET,0.02743305
wheat,1,22,no,U-NET,0.5956824
wheat,1,22,no,U-NET,0.9300831
wheat,1,22,yes,U-NET,0.9249221
wheat,1,22,yes,U-NET,0.9221826
wheat,1,22,yes,U-NET,0.9234472
wheat,1,22,yes,U-NET,0.93041843
wheat,1,22,yes,U-NET,0.9236724
wheat,1,22,yes,U-NET,0.43398827
wheat,1,22,yes,U-NET,0.14745829
wheat,1,22,yes,U-NET,0.42627347
wheat,1,22,yes,U-NET,0.5651854
wheat,1,22,yes,U-NET,0.5975262
wheat,1,22,no,U-NET,0.076679006
wheat,1,22,yes,U-NET,0.25758383
wheat,1,22,yes,U-NET,0.627095
wheat,1,22,yes,U-NET,0.44407532
wheat,1,22,yes,U-NET,0.0037776579
wheat,1,22,yes,U-NET,0.0
wheat,1,23,no,U-NET,0.11141038
wheat,1,23,no,U-NET,0.92213774
wheat,1,23,yes,U-NET,0.9214599
wheat,1,23,yes,U-NET,0.921994
wheat,1,23,yes,U-NET,0.91195977
wheat,1,23,yes,U-NET,0.9227577
wheat,1,23,yes,U-NET,0.89612716
wheat,1,23,yes,U-NET,0.090726964
wheat,1,23,yes,U-NET,0.34297898
wheat,1,23,yes,U-NET,0.21682961
wheat,1,23,yes,U-NET,0.15055211
wheat,1,23,yes,U-NET,0.006966292
wheat,1,23,no,U-NET,0.9335415
wheat,1,23,yes,U-NET,0.9253369
wheat,1,23,yes,U-NET,0.9255014
wheat,1,23,yes,U-NET,0.9019092
wheat,1,23,yes,U-NET,0.9335415
wheat,1,23,yes,U-NET,0.9187541
wheat,1,24,no,U-NET,0.12804204
wheat,1,24,no,U-NET,0.9027047
wheat,1,24,yes,U-NET,0.91574323
wheat,1,24,yes,U-NET,0.9118431
wheat,1,24,yes,U-NET,0.88998294
wheat,1,24,yes,U-NET,0.9018209
wheat,1,24,yes,U-NET,0.8879263
wheat,1,24,yes,U-NET,0.048635826
wheat,1,24,yes,U-NET,0.0982334
wheat,1,24,yes,U-NET,0.0
wheat,1,24,yes,U-NET,0.34667048
wheat,1,24,yes,U-NET,0.19949916
wheat,1,24,no,U-NET,0.84732825
wheat,1,24,yes,U-NET,0.86386675
wheat,1,24,yes,U-NET,0.8667147
wheat,1,24,yes,U-NET,0.7664957
wheat,1,24,yes,U-NET,0.86035544
wheat,1,24,yes,U-NET,0.8422782
wheat,1,25,no,U-NET,0.7788875
wheat,1,25,no,U-NET,0.7237797
wheat,1,25,yes,U-NET,0.75717074
wheat,1,25,yes,U-NET,0.7347565
wheat,1,25,yes,U-NET,0.7031856
wheat,1,25,yes,U-NET,0.7257306
wheat,1,25,yes,U-NET,0.7235495
wheat,1,25,yes,U-NET,0.74196386
wheat,1,25,yes,U-NET,0.7247417
wheat,1,25,yes,U-NET,0.7767035
wheat,1,25,yes,U-NET,0.77641463
wheat,1,25,yes,U-NET,0.71900594
wheat,1,25,no,U-NET,0.84048027
wheat,1,25,yes,U-NET,0.888374
wheat,1,25,yes,U-NET,0.83719605
wheat,1,25,yes,U-NET,0.86241215
wheat,1,25,yes,U-NET,0.86963373
wheat,1,25,yes,U-NET,0.6621105
wheat,1,26,no,U-NET,0.7195384
wheat,1,26,no,U-NET,0.8073093
wheat,1,26,yes,U-NET,0.7724236
wheat,1,26,yes,U-NET,0.77534574
wheat,1,26,yes,U-NET,0.7896852
wheat,1,26,yes,U-NET,0.8056685
wheat,1,26,yes,U-NET,0.8200668
wheat,1,26,yes,U-NET,0.8466072
wheat,1,26,yes,U-NET,0.7648969
wheat,1,26,yes,U-NET,0.83728254
wheat,1,26,yes,U-NET,0.7960319
wheat,1,26,yes,U-NET,0.6739294
wheat,1,26,no,U-NET,0.8026392
wheat,1,26,yes,U-NET,0.8296637
wheat,1,26,yes,U-NET,0.83730257
wheat,1,26,yes,U-NET,0.8167191
wheat,1,26,yes,U-NET,0.83433133
wheat,1,26,yes,U-NET,0.82996243
wheat,1,27,no,U-NET,0.8455098
wheat,1,27,no,U-NET,0.6722999
wheat,1,27,yes,U-NET,0.69924283
wheat,1,27,yes,U-NET,0.7052889
wheat,1,27,yes,U-NET,0.71456593
wheat,1,27,yes,U-NET,0.6769396
wheat,1,27,yes,U-NET,0.6256892
wheat,1,27,yes,U-NET,0.84599423
wheat,1,27,yes,U-NET,0.83794695
wheat,1,27,yes,U-NET,0.61654073
wheat,1,27,yes,U-NET,0.8485516
wheat,1,27,yes,U-NET,0.84693176
wheat,1,27,no,U-NET,0.9132385
wheat,1,27,yes,U-NET,0.8630822
wheat,1,27,yes,U-NET,0.7882978
wheat,1,27,yes,U-NET,0.9143969
wheat,1,27,yes,U-NET,0.9132896
wheat,1,27,yes,U-NET,0.88677144
wheat,1,28,no,U-NET,0.9081849
wheat,1,28,no,U-NET,0.49898094
wheat,1,28,yes,U-NET,0.43773854
wheat,1,28,yes,U-NET,0.4735273
wheat,1,28,yes,U-NET,0.488516
wheat,1,28,yes,U-NET,0.50395966
wheat,1,28,yes,U-NET,0.4147366
wheat,1,28,yes,U-NET,0.89567214
wheat,1,28,yes,U-NET,0.9102537
wheat,1,28,yes,U-NET,0.9097296
wheat,1,28,yes,U-NET,0.9107413
wheat,1,28,yes,U-NET,0.89855075
wheat,1,28,no,U-NET,0.9364338
wheat,1,28,yes,U-NET,0.9247633
wheat,1,28,yes,U-NET,0.9287009
wheat,1,28,yes,U-NET,0.9292735
wheat,1,28,yes,U-NET,0.924459
wheat,1,28,yes,U-NET,0.90699315
wheat,1,29,no,U-NET,0.71662045
wheat,1,29,no,U-NET,0.70228755
wheat,1,29,yes,U-NET,0.77508056
wheat,1,29,yes,U-NET,0.6871637
wheat,1,29,yes,U-NET,0.7252857
wheat,1,29,yes,U-NET,0.72794276
wheat,1,29,yes,U-NET,0.69881517
wheat,1,29,yes,U-NET,0.68247163
wheat,1,29,yes,U-NET,0.66901696
wheat,1,29,yes,U-NET,0.6414533
wheat,1,29,yes,U-NET,0.6608368
wheat,1,29,yes,U-NET,0.72400534
wheat,1,29,no,U-NET,0.825182
wheat,1,29,yes,U-NET,0.8080845
wheat,1,29,yes,U-NET,0.79425234
wheat,1,29,yes,U-NET,0.8249475
wheat,1,29,yes,U-NET,0.8201857
wheat,1,29,yes,U-NET,0.8172043
wheat,1,2,no,U-NET,0.89971924
wheat,1,2,no,U-NET,0.48844886
wheat,1,2,yes,U-NET,0.0020515157
wheat,1,2,yes,U-NET,0.25767642
wheat,1,2,yes,U-NET,0.29141772
wheat,1,2,yes,U-NET,0.5206866
wheat,1,2,yes,U-NET,0.49837977
wheat,1,2,yes,U-NET,0.9190561
wheat,1,2,yes,U-NET,0.91077715
wheat,1,2,yes,U-NET,0.6982875
wheat,1,2,yes,U-NET,0.9022627
wheat,1,2,yes,U-NET,0.8172173
wheat,1,2,no,U-NET,0.0021394189
wheat,1,2,yes,U-NET,0.66867054
wheat,1,2,yes,U-NET,0.08228409
wheat,1,2,yes,U-NET,0.560997
wheat,1,2,yes,U-NET,0.07660933
wheat,1,2,yes,U-NET,0.013489208
wheat,1,30,no,U-NET,0.88917047
wheat,1,30,no,U-NET,0.94546145
wheat,1,30,yes,U-NET,0.9386009
wheat,1,30,yes,U-NET,0.76132655
wheat,1,30,yes,U-NET,0.91610116
wheat,1,30,yes,U-NET,0.94493556
wheat,1,30,yes,U-NET,0.9446485
wheat,1,30,yes,U-NET,0.8895851
wheat,1,30,yes,U-NET,0.8480826
wheat,1,30,yes,U-NET,0.5127944
wheat,1,30,yes,U-NET,0.86861813
wheat,1,30,yes,U-NET,0.8857143
wheat,1,30,no,U-NET,0.94143105
wheat,1,30,yes,U-NET,0.94177145
wheat,1,30,yes,U-NET,0.93477637
wheat,1,30,yes,U-NET,0.9355164
wheat,1,30,yes,U-NET,0.9412868
wheat,1,30,yes,U-NET,0.91715217
wheat,1,31,no,U-NET,0.45504528
wheat,1,31,no,U-NET,0.9363999
wheat,1,31,yes,U-NET,0.9359827
wheat,1,31,yes,U-NET,0.92786723
wheat,1,31,yes,U-NET,0.92045265
wheat,1,31,yes,U-NET,0.9353928
wheat,1,31,yes,U-NET,0.8892082
wheat,1,31,yes,U-NET,0.059009485
wheat,1,31,yes,U-NET,0.24827813
wheat,1,31,yes,U-NET,0.15556066
wheat,1,31,yes,U-NET,0.44018406
wheat,1,31,yes,U-NET,0.7332356
wheat,1,31,no,U-NET,0.9030328
wheat,1,31,yes,U-NET,0.9007209
wheat,1,31,yes,U-NET,0.8982061
wheat,1,31,yes,U-NET,0.90918475
wheat,1,31,yes,U-NET,0.90307915
wheat,1,31,yes,U-NET,0.86657304
wheat,1,32,no,U-NET,0.9037787
wheat,1,32,no,U-NET,0.7503562
