"crop","modelname","metric","result"
"sorghum","DeepLabV3Plus","Dice","ERROR: Estimation not possible due to incomplete design."
"sorghum","DeepLabV3Plus","F1","ERROR: Estimation not possible due to incomplete design."
"sorghum","DeepLabV3Plus","IoU","ERROR: Estimation not possible due to incomplete design."
"sorghum","DeepLabV3Plus","Precision","ERROR: Estimation not possible due to incomplete design."
"sorghum","DeepLabV3Plus","Recall","ERROR: Estimation not possible due to incomplete design."
"sorghum","SegFormer","Dice","ERROR: Estimation not possible due to incomplete design."
"sorghum","SegFormer","F1","ERROR: Estimation not possible due to incomplete design."
"sorghum","SegFormer","IoU","ERROR: Estimation not possible due to incomplete design."
"sorghum","SegFormer","Precision","ERROR: Estimation not possible due to incomplete design."
"sorghum","SegFormer","Recall","ERROR: Estimation not possible due to incomplete design."
"sorghum","SegNet","Dice","ERROR: Estimation not possible due to incomplete design."
"sorghum","SegNet","F1","ERROR: Estimation not possible due to incomplete design."
"sorghum","SegNet","IoU","ERROR: Estimation not possible due to incomplete design."
"sorghum","SegNet","Precision","ERROR: Estimation not possible due to incomplete design."
"sorghum","SegNet","Recall","ERROR: Estimation not possible due to incomplete design."
"sorghum","U-NET","Dice","ERROR: Estimation not possible due to incomplete design."
"sorghum","U-NET","F1","ERROR: Estimation not possible due to incomplete design."
"sorghum","U-NET","IoU","ERROR: Estimation not possible due to incomplete design."
"sorghum","U-NET","Precision","ERROR: Estimation not possible due to incomplete design."
"sorghum","U-NET","Recall","ERROR: Estimation not possible due to incomplete design."
"wheat","DeepLabV3Plus","Dice","Call:
WRS2::t2way(formula = value ~ genotype * collectiondate, data = d, 
    tr = 0.2)

                            value p.value
genotype                 421.7888   0.001
collectiondate            63.6542   0.001
genotype:collectiondate 2382.6077   0.001
"
"wheat","DeepLabV3Plus","F1","Call:
WRS2::t2way(formula = value ~ genotype * collectiondate, data = d, 
    tr = 0.2)

                            value p.value
genotype                 421.7889   0.001
collectiondate            63.6543   0.001
genotype:collectiondate 2382.6078   0.001
"
"wheat","DeepLabV3Plus","IoU","Call:
WRS2::t2way(formula = value ~ genotype * collectiondate, data = d, 
    tr = 0.2)

                            value p.value
genotype                 444.5888   0.001
collectiondate            72.6199   0.001
genotype:collectiondate 2505.4183   0.001
"
"wheat","DeepLabV3Plus","Precision","Call:
WRS2::t2way(formula = value ~ genotype * collectiondate, data = d, 
    tr = 0.2)

                            value p.value
genotype                 337.2207   0.001
collectiondate            87.3786   0.001
genotype:collectiondate 1485.5314   0.001
"
