"crop","modelname","metric","stat","value"
"sorghum","DeepLabV3Plus","IoU","mean",0.893550034413473
"sorghum","DeepLabV3Plus","IoU","max",0.9729556
"sorghum","DeepLabV3Plus","IoU","min",0
"sorghum","DeepLabV3Plus","IoU","var",0.0073547937890229
"sorghum","DeepLabV3Plus","IoU","cv",9.597682399718
"sorghum","DeepLabV3Plus","Dice","mean",0.941156637877468
"sorghum","DeepLabV3Plus","Dice","max",0.9862924
"sorghum","DeepLabV3Plus","Dice","min",0
"sorghum","DeepLabV3Plus","Dice","var",0.00352542912226313
"sorghum","DeepLabV3Plus","Dice","cv",6.30876113465017
"sorghum","DeepLabV3Plus","Precision","mean",0.949582299718407
"sorghum","DeepLabV3Plus","Precision","max",1
"sorghum","DeepLabV3Plus","Precision","min",0
"sorghum","DeepLabV3Plus","Precision","var",0.00463153293393217
"sorghum","DeepLabV3Plus","Precision","cv",7.16687397185645
"sorghum","DeepLabV3Plus","Recall","mean",0.937764013501823
"sorghum","DeepLabV3Plus","Recall","max",1
"sorghum","DeepLabV3Plus","Recall","min",0
"sorghum","DeepLabV3Plus","Recall","var",0.00559311996385227
"sorghum","DeepLabV3Plus","Recall","cv",7.97505165006467
"sorghum","DeepLabV3Plus","F1","mean",0.941156638248075
"sorghum","DeepLabV3Plus","F1","max",0.986292434649405
"sorghum","DeepLabV3Plus","F1","min",0
"sorghum","DeepLabV3Plus","F1","var",0.00352542912831567
"sorghum","DeepLabV3Plus","F1","cv",6.30876113758144
"sorghum","DeepLabV3Plus","MAE","mean",0.0147965798855836
"sorghum","DeepLabV3Plus","MAE","max",0.13441849
"sorghum","DeepLabV3Plus","MAE","min",0.0024337769
"sorghum","DeepLabV3Plus","MAE","var",0.000203083231894245
"sorghum","DeepLabV3Plus","MAE","cv",96.3109551431153
"sorghum","DeepLabV3Plus","Hausdorff","mean",Inf
"sorghum","DeepLabV3Plus","Hausdorff","max",Inf
"sorghum","DeepLabV3Plus","Hausdorff","min",3.16227766016838
"sorghum","DeepLabV3Plus","Hausdorff","var",NA
"sorghum","DeepLabV3Plus","Hausdorff","cv",NA
"sorghum","DeepLabV3Plus","PixelAccuracy","mean",0.985203420105158
"sorghum","DeepLabV3Plus","PixelAccuracy","max",0.997566223144531
"sorghum","DeepLabV3Plus","PixelAccuracy","min",0.865581512451172
"sorghum","DeepLabV3Plus","PixelAccuracy","var",0.000203083232905938
"sorghum","DeepLabV3Plus","PixelAccuracy","cv",1.44647563751807
"sorghum","SegFormer","IoU","mean",0.903091561664795
"sorghum","SegFormer","IoU","max",0.9727716
"sorghum","SegFormer","IoU","min",0
"sorghum","SegFormer","IoU","var",0.00744029907429352
"sorghum","SegFormer","IoU","cv",9.55132036553881
"sorghum","SegFormer","Dice","mean",0.946043111626902
"sorghum","SegFormer","Dice","max",0.9861979
"sorghum","SegFormer","Dice","min",0
"sorghum","SegFormer","Dice","var",0.00483613244348994
"sorghum","SegFormer","Dice","cv",7.35086023098679
"sorghum","SegFormer","Precision","mean",0.94919430143012
"sorghum","SegFormer","Precision","max",1
"sorghum","SegFormer","Precision","min",0
"sorghum","SegFormer","Precision","var",0.00581885620957323
"sorghum","SegFormer","Precision","cv",8.03643970149085
"sorghum","SegFormer","Recall","mean",0.947165966177044
"sorghum","SegFormer","Recall","max",1
"sorghum","SegFormer","Recall","min",0
"sorghum","SegFormer","Recall","var",0.00645076548582061
"sorghum","SegFormer","Recall","cv",8.47968153990849
"sorghum","SegFormer","F1","mean",0.946043111613959
"sorghum","SegFormer","F1","max",0.986197881624728
"sorghum","SegFormer","F1","min",0
"sorghum","SegFormer","F1","var",0.00483613246966124
"sorghum","SegFormer","F1","cv",7.35086025097738
"sorghum","SegFormer","MAE","mean",0.0134778720638647
"sorghum","SegFormer","MAE","max",0.21493912
"sorghum","SegFormer","MAE","min",0.0024147034
"sorghum","SegFormer","MAE","var",0.00020239963768993
"sorghum","SegFormer","MAE","cv",105.556148583259
"sorghum","SegFormer","Hausdorff","mean",Inf
"sorghum","SegFormer","Hausdorff","max",Inf
"sorghum","SegFormer","Hausdorff","min",2.82842712474619
"sorghum","SegFormer","Hausdorff","var",NA
"sorghum","SegFormer","Hausdorff","cv",NA
"sorghum","SegFormer","PixelAccuracy","mean",0.986522127942341
"sorghum","SegFormer","PixelAccuracy","max",0.997585296630859
"sorghum","SegFormer","PixelAccuracy","min",0.785060882568359
"sorghum","SegFormer","PixelAccuracy","var",0.000202399637853033
"sorghum","SegFormer","PixelAccuracy","cv",1.44210882496884
"sorghum","SegNet","IoU","mean",0.894809630225799
"sorghum","SegNet","IoU","max",0.97082186
"sorghum","SegNet","IoU","min",0
"sorghum","SegNet","IoU","var",0.00840429533885028
"sorghum","SegNet","IoU","cv",10.2451896808127
"sorghum","SegNet","Dice","mean",0.941095425090491
"sorghum","SegNet","Dice","max",0.9851949
"sorghum","SegNet","Dice","min",0
"sorghum","SegNet","Dice","var",0.00522625026865074
"sorghum","SegNet","Dice","cv",7.68177246625723
"sorghum","SegNet","Precision","mean",0.943178229054814
"sorghum","SegNet","Precision","max",1
"sorghum","SegNet","Precision","min",0
"sorghum","SegNet","Precision","var",0.00644863580912183
"sorghum","SegNet","Precision","cv",8.51412766078799
"sorghum","SegNet","Recall","mean",0.944055828489365
"sorghum","SegNet","Recall","max",0.999961756157259
"sorghum","SegNet","Recall","min",0
"sorghum","SegNet","Recall","var",0.00645644060240447
"sorghum","SegNet","Recall","cv",8.51135886571423
"sorghum","SegNet","F1","mean",0.941095425067529
"sorghum","SegNet","F1","max",0.985194922328513
"sorghum","SegNet","F1","min",0
"sorghum","SegNet","F1","var",0.00522625025273735
"sorghum","SegNet","F1","cv",7.68177245474955
"sorghum","SegNet","MAE","mean",0.0147524489188444
"sorghum","SegNet","MAE","max",0.1829071
"sorghum","SegNet","MAE","min",0.0022659302
"sorghum","SegNet","MAE","var",0.000216309702005641
"sorghum","SegNet","MAE","cv",99.6951152975743
"sorghum","SegNet","Hausdorff","mean",Inf
"sorghum","SegNet","Hausdorff","max",Inf
"sorghum","SegNet","Hausdorff","min",3
"sorghum","SegNet","Hausdorff","var",NA
"sorghum","SegNet","Hausdorff","cv",NA
"sorghum","SegNet","PixelAccuracy","mean",0.98524755107955
"sorghum","SegNet","PixelAccuracy","max",0.997734069824219
"sorghum","SegNet","PixelAccuracy","min",0.817092895507812
"sorghum","SegNet","PixelAccuracy","var",0.000216309702742926
"sorghum","SegNet","PixelAccuracy","cv",1.49276909826444
"sorghum","U-NET","IoU","mean",0.904204577461818
"sorghum","U-NET","IoU","max",0.9734337
"sorghum","U-NET","IoU","min",0
"sorghum","U-NET","IoU","var",0.00619468699187531
"sorghum","U-NET","IoU","cv",8.70448301587574
"sorghum","U-NET","Dice","mean",0.947361337432637
"sorghum","U-NET","Dice","max",0.98653805
"sorghum","U-NET","Dice","min",0
"sorghum","U-NET","Dice","var",0.00340370248551113
"sorghum","U-NET","Dice","cv",6.15829003739157
"sorghum","U-NET","Precision","mean",0.951919217287905
"sorghum","U-NET","Precision","max",1
"sorghum","U-NET","Precision","min",0
"sorghum","U-NET","Precision","var",0.00386941919065967
"sorghum","U-NET","Precision","cv",6.53465699289647
"sorghum","U-NET","Recall","mean",0.947319762373223
"sorghum","U-NET","Recall","max",1
"sorghum","U-NET","Recall","min",0
"sorghum","U-NET","Recall","var",0.00549944887633706
"sorghum","U-NET","Recall","cv",7.82821936672277
"sorghum","U-NET","F1","mean",0.947361337071766
"sorghum","U-NET","F1","max",0.98653802339749
"sorghum","U-NET","F1","min",0
"sorghum","U-NET","F1","var",0.00340370247407937
"sorghum","U-NET","F1","cv",6.1582900293957
"sorghum","U-NET","MAE","mean",0.0132325307566928
"sorghum","U-NET","MAE","max",0.16233063
"sorghum","U-NET","MAE","min",0.0021514893
"sorghum","U-NET","MAE","var",0.000159767211357971
"sorghum","U-NET","MAE","cv",95.5214519779727
"sorghum","U-NET","Hausdorff","mean",Inf
"sorghum","U-NET","Hausdorff","max",Inf
"sorghum","U-NET","Hausdorff","min",2.23606797749979
"sorghum","U-NET","Hausdorff","var",NA
"sorghum","U-NET","Hausdorff","cv",NA
"sorghum","U-NET","PixelAccuracy","mean",0.986767469244413
"sorghum","U-NET","PixelAccuracy","max",0.997848510742188
"sorghum","U-NET","PixelAccuracy","min",0.837669372558594
"sorghum","U-NET","PixelAccuracy","var",0.000159767211821602
"sorghum","U-NET","PixelAccuracy","cv",1.28094063946427
"wheat","DeepLabV3Plus","IoU","mean",0.84095281585487
"wheat","DeepLabV3Plus","IoU","max",0.9363179
"wheat","DeepLabV3Plus","IoU","min",0
"wheat","DeepLabV3Plus","IoU","var",0.0109196796337628
"wheat","DeepLabV3Plus","IoU","cv",12.4260563695336
"wheat","DeepLabV3Plus","Dice","mean",0.908769058933108
"wheat","DeepLabV3Plus","Dice","max",0.96711177
"wheat","DeepLabV3Plus","Dice","min",0
"wheat","DeepLabV3Plus","Dice","var",0.00763867448435462
"wheat","DeepLabV3Plus","Dice","cv",9.61735106621019
"wheat","DeepLabV3Plus","Precision","mean",0.919472468408305
"wheat","DeepLabV3Plus","Precision","max",1
"wheat","DeepLabV3Plus","Precision","min",0
"wheat","DeepLabV3Plus","Precision","var",0.00682318267757826
"wheat","DeepLabV3Plus","Precision","cv",8.98369025495126
"wheat","DeepLabV3Plus","Recall","mean",0.906426386347485
"wheat","DeepLabV3Plus","Recall","max",0.998308846844942
"wheat","DeepLabV3Plus","Recall","min",0
"wheat","DeepLabV3Plus","Recall","var",0.0111415281319768
"wheat","DeepLabV3Plus","Recall","cv",11.6450093376453
"wheat","DeepLabV3Plus","F1","mean",0.908769059199543
"wheat","DeepLabV3Plus","F1","max",0.967111751763903
"wheat","DeepLabV3Plus","F1","min",0
"wheat","DeepLabV3Plus","F1","var",0.00763867444386951
"wheat","DeepLabV3Plus","F1","cv",9.61735103790448
"wheat","DeepLabV3Plus","MAE","mean",0.00513111900675676
"wheat","DeepLabV3Plus","MAE","max",0.053821564
"wheat","DeepLabV3Plus","MAE","min",0.0011138916
"wheat","DeepLabV3Plus","MAE","var",2.34442519766072e-05
"wheat","DeepLabV3Plus","MAE","cv",94.3639480454991
"wheat","DeepLabV3Plus","Hausdorff","mean",Inf
"wheat","DeepLabV3Plus","Hausdorff","max",Inf
"wheat","DeepLabV3Plus","Hausdorff","min",2
"wheat","DeepLabV3Plus","Hausdorff","var",NA
"wheat","DeepLabV3Plus","Hausdorff","cv",NA
"wheat","DeepLabV3Plus","PixelAccuracy","mean",0.994868880993611
"wheat","DeepLabV3Plus","PixelAccuracy","max",0.998886108398438
"wheat","DeepLabV3Plus","PixelAccuracy","min",0.946178436279297
"wheat","DeepLabV3Plus","PixelAccuracy","var",2.34442519221247e-05
"wheat","DeepLabV3Plus","PixelAccuracy","cv",0.486689910657045
"wheat","SegFormer","IoU","mean",0.842004461360876
"wheat","SegFormer","IoU","max",0.9348642
"wheat","SegFormer","IoU","min",0
"wheat","SegFormer","IoU","var",0.0105177192338144
"wheat","SegFormer","IoU","cv",12.1799749202889
"wheat","SegFormer","Dice","mean",0.909543920820158
"wheat","SegFormer","Dice","max",0.9663357
"wheat","SegFormer","Dice","min",0
"wheat","SegFormer","Dice","var",0.0074616279543379
"wheat","SegFormer","Dice","cv",9.49714611892827
"wheat","SegFormer","Precision","mean",0.918557873390242
"wheat","SegFormer","Precision","max",1
"wheat","SegFormer","Precision","min",0
"wheat","SegFormer","Precision","var",0.00770477543070139
"wheat","SegFormer","Precision","cv",9.55594119226698
"wheat","SegFormer","Recall","mean",0.908299885543329
"wheat","SegFormer","Recall","max",0.998747847863515
"wheat","SegFormer","Recall","min",0
"wheat","SegFormer","Recall","var",0.0105139455325491
"wheat","SegFormer","Recall","cv",11.2889513632656
"wheat","SegFormer","F1","mean",0.909543921109616
"wheat","SegFormer","F1","max",0.966335738371983
"wheat","SegFormer","F1","min",0
"wheat","SegFormer","F1","var",0.00746162792160587
"wheat","SegFormer","F1","cv",9.49714609507521
"wheat","SegFormer","MAE","mean",0.00510770136081081
"wheat","SegFormer","MAE","max",0.08603668
"wheat","SegFormer","MAE","min",0.0010261536
"wheat","SegFormer","MAE","var",2.33545797160874e-05
"wheat","SegFormer","MAE","cv",94.6151171175629
"wheat","SegFormer","Hausdorff","mean",Inf
"wheat","SegFormer","Hausdorff","max",Inf
"wheat","SegFormer","Hausdorff","min",2.23606797749979
"wheat","SegFormer","Hausdorff","var",NA
"wheat","SegFormer","Hausdorff","cv",NA
"wheat","SegFormer","PixelAccuracy","mean",0.994892298638284
"wheat","SegFormer","PixelAccuracy","max",0.998973846435547
"wheat","SegFormer","PixelAccuracy","min",0.913963317871094
"wheat","SegFormer","PixelAccuracy","var",2.33545798213856e-05
"wheat","SegFormer","PixelAccuracy","cv",0.485746813203342
"wheat","SegNet","IoU","mean",0.846232192511163
"wheat","SegNet","IoU","max",0.95429176
"wheat","SegNet","IoU","min",0
"wheat","SegNet","IoU","var",0.016760300716013
"wheat","SegNet","IoU","cv",15.2985884042946
