crop,modelname,metric,stat,value
corn,DeepLabV3Plus,IoU,mean,0.879023291
corn,DeepLabV3Plus,IoU,max,0.95648956
corn,DeepLabV3Plus,IoU,min,0.70542794
corn,DeepLabV3Plus,IoU,var,0.001918683
corn,DeepLabV3Plus,IoU,cv,4.983118666
corn,DeepLabV3Plus,Precision,mean,0.926213019
corn,DeepLabV3Plus,Precision,max,0.991176471
corn,DeepLabV3Plus,Precision,min,0.829660976
corn,DeepLabV3Plus,Precision,var,0.00138063
corn,DeepLabV3Plus,Precision,cv,4.011694001
corn,DeepLabV3Plus,Recall,mean,0.946055282
corn,DeepLabV3Plus,Recall,max,0.998633044
corn,DeepLabV3Plus,Recall,min,0.806843589
corn,DeepLabV3Plus,Recall,var,0.00167457
corn,DeepLabV3Plus,Recall,cv,4.325488861
corn,DeepLabV3Plus,F1,mean,0.93502692
corn,DeepLabV3Plus,F1,max,0.97776098
corn,DeepLabV3Plus,F1,min,0.827273823
corn,DeepLabV3Plus,F1,var,0.000642218
corn,DeepLabV3Plus,F1,cv,2.710298789
corn,MaskFormer,IoU,mean,0.882679649
corn,MaskFormer,IoU,max,0.9602078
corn,MaskFormer,IoU,min,0.7056616
corn,MaskFormer,IoU,var,0.001894121
corn,MaskFormer,IoU,cv,4.930610626
corn,MaskFormer,Precision,mean,0.945354814
corn,MaskFormer,Precision,max,0.996121816
corn,MaskFormer,Precision,min,0.829669385
corn,MaskFormer,Precision,var,0.001183416
corn,MaskFormer,Precision,cv,3.638931816
corn,MaskFormer,Recall,mean,0.930895908
corn,MaskFormer,Recall,max,0.995067818
corn,MaskFormer,Recall,min,0.806870938
corn,MaskFormer,Recall,var,0.001753288
corn,MaskFormer,Recall,cv,4.498062129
corn,MaskFormer,F1,mean,0.937104817
corn,MaskFormer,F1,max,0.979700031
corn,MaskFormer,F1,min,0.827434449
corn,MaskFormer,F1,var,0.000629419
corn,MaskFormer,F1,cv,2.677204801
corn,SegFormer,IoU,mean,0.899259846
corn,SegFormer,IoU,max,0.9644851
corn,SegFormer,IoU,min,0.7134829
corn,SegFormer,IoU,var,0.001755353
corn,SegFormer,IoU,cv,4.659046473
corn,SegFormer,Precision,mean,0.94923451
corn,SegFormer,Precision,max,0.996082866
corn,SegFormer,Precision,min,0.830512779
corn,SegFormer,Precision,var,0.001173368
corn,SegFormer,Precision,cv,3.608640621
corn,SegFormer,Recall,mean,0.945279248
corn,SegFormer,Recall,max,0.998395699
corn,SegFormer,Recall,min,0.807577058
corn,SegFormer,Recall,var,0.001397621
corn,SegFormer,Recall,cv,3.954891781
corn,SegFormer,F1,mean,0.946432782
corn,SegFormer,F1,max,0.981921519
corn,SegFormer,F1,min,0.832786727
corn,SegFormer,F1,var,0.000568059
corn,SegFormer,F1,cv,2.518296882
corn,SegNet,IoU,mean,0.877194931
corn,SegNet,IoU,max,0.9622407
corn,SegNet,IoU,min,0.7053782
corn,SegNet,IoU,var,0.002185017
corn,SegNet,IoU,cv,5.328822821
corn,SegNet,Precision,mean,0.935824448
corn,SegNet,Precision,max,0.995605564
corn,SegNet,Precision,min,0.829737004
corn,SegNet,Precision,var,0.001391359
corn,SegNet,Precision,cv,3.985889576
corn,SegNet,Recall,mean,0.934384905
corn,SegNet,Recall,max,0.996352102
corn,SegNet,Recall,min,0.80679854
corn,SegNet,Recall,var,0.002172188
corn,SegNet,Recall,cv,4.987959129
corn,SegNet,F1,mean,0.933907715
corn,SegNet,F1,max,0.980757042
corn,SegNet,F1,min,0.82723961
corn,SegNet,F1,var,0.000731179
corn,SegNet,F1,cv,2.895395403
corn,U-NET,IoU,mean,0.889086211
corn,U-NET,IoU,max,0.9683462
corn,U-NET,IoU,min,0.7099371
corn,U-NET,IoU,var,0.00229849
corn,U-NET,IoU,cv,5.392342273
corn,U-NET,Precision,mean,0.947231203
corn,U-NET,Precision,max,0.996547898
corn,U-NET,Precision,min,0.829830347
corn,U-NET,Precision,var,0.0014375
corn,U-NET,Precision,cv,4.002652214
corn,U-NET,Recall,mean,0.936177942
corn,U-NET,Recall,max,0.997341245
corn,U-NET,Recall,min,0.806883856
corn,U-NET,Recall,var,0.001946937
corn,U-NET,Recall,cv,4.713218502
corn,U-NET,F1,mean,0.940591371
corn,U-NET,F1,max,0.983918584
corn,U-NET,F1,min,0.830366338
corn,U-NET,F1,var,0.000752547
corn,U-NET,F1,cv,2.916525761
sorghum,DeepLabV3Plus,IoU,mean,0.914321261
sorghum,DeepLabV3Plus,IoU,max,0.9729556
sorghum,DeepLabV3Plus,IoU,min,0.7217738
sorghum,DeepLabV3Plus,IoU,var,0.002208848
sorghum,DeepLabV3Plus,IoU,cv,5.140248831
sorghum,DeepLabV3Plus,Precision,mean,0.960185072
sorghum,DeepLabV3Plus,Precision,max,1
sorghum,DeepLabV3Plus,Precision,min,0.830210238
sorghum,DeepLabV3Plus,Precision,var,0.00128729
sorghum,DeepLabV3Plus,Precision,cv,3.73665708
sorghum,DeepLabV3Plus,Recall,mean,0.950843127
sorghum,DeepLabV3Plus,Recall,max,1
sorghum,DeepLabV3Plus,Recall,min,0.806878953
sorghum,DeepLabV3Plus,Recall,var,0.001682139
sorghum,DeepLabV3Plus,Recall,cv,4.313422827
sorghum,DeepLabV3Plus,F1,mean,0.954594612
sorghum,DeepLabV3Plus,F1,max,0.986292435
sorghum,DeepLabV3Plus,F1,min,0.838407227
sorghum,DeepLabV3Plus,F1,var,0.000698919
sorghum,DeepLabV3Plus,F1,cv,2.769454875
sorghum,MaskFormer,IoU,mean,0.914787494
sorghum,MaskFormer,IoU,max,0.97002625
sorghum,MaskFormer,IoU,min,0.7243297
sorghum,MaskFormer,IoU,var,0.00192905
sorghum,MaskFormer,IoU,cv,4.80121911
sorghum,MaskFormer,Precision,mean,0.955886075
sorghum,MaskFormer,Precision,max,1
sorghum,MaskFormer,Precision,min,0.829707866
sorghum,MaskFormer,Precision,var,0.001320939
sorghum,MaskFormer,Precision,cv,3.802202721
sorghum,MaskFormer,Recall,mean,0.955836669
