"metric","crop","genotype_min","genotype_max","n_min","n_max","t_stat","df","p_value","conf_low","conf_high","mean_min","mean_max"
"IoU","corn","30","122",2,10,-6.31752988472207,3.06863036080572,0.00749013208875905,-0.135754792272055,-0.045561713727945,0.83616817,0.926826423
"IoU","sorghum","39","80",20,28,-20.800044496448,24.1071188395412,6.58272761251334e-17,-0.113573154036871,-0.0930733359631295,0.855267115,0.95859036
"IoU","wheat","29","40",14,30,-11.1005862224414,25.5941449821123,2.80462412515418e-11,-0.0942985242732857,-0.0648126642029047,0.831264196428571,0.910819790666667
"Precision","corn","46","86",3,12,-1.74202707947068,2.24568242129022,0.209719337757782,-0.117433619661407,0.0446790007997498,0.931995000233632,0.968372309664461
"Precision","sorghum","26","42",24,30,-9.63427158985079,28.4883746884509,1.82774716145949e-10,-0.0800151966934448,-0.0519737900415065,0.910591241347125,0.9765857347146
"Precision","wheat","38","30",17,30,-5.8047160050429,17.2962206956979,1.97274602590358e-05,-0.0722366947181779,-0.0337605319608227,0.906475658941608,0.959474272281109
"Recall","corn","44","71",3,8,-3.7267550413239,2.04849754071907,0.0626923318265224,-0.173041139951179,0.0104641846626656,0.895515081279969,0.976803558924226
"Recall","sorghum","27","80",16,28,-3.55827744288414,15.5939722199517,0.00271262114495922,-0.0705646665575526,-0.0178051754254058,0.940264116297395,0.984449037288874
"Recall","wheat","29","40",14,30,-11.2724966690196,22.2279593564064,1.15498917927578e-10,-0.101724955179452,-0.0701270375914286,0.874071313680432,0.959997310065873
"F1","corn","30","122",2,10,-6.19847668780504,2.73773690143392,0.011007111695755,-0.0787365492431019,-0.0233595015067097,0.910738502264714,0.96178652763962
"F1","sorghum","39","80",20,28,-20.1963141315777,23.2682799919592,2.98089046036721e-16,-0.0628083721676057,-0.0511439633678194,0.921860264960436,0.978836432728149
"F1","wheat","29","40",14,30,-10.8761927126519,23.76674154765,1.04331383809713e-10,-0.0541163576202605,-0.0368460853979916,0.907710053390208,0.953191274899334
